Region/Country/Area,Country/Area name,Year,Variables,Public expenditure on education (as of 2021)
4,Afghanistan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.3
4,Afghanistan,2010,All staff compensation as % of total expenditure in public institutions (%),72.4
4,Afghanistan,2010,Capital expenditure as % of total expenditure in public institutions (%),18.3
4,Afghanistan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.0
4,Afghanistan,2015,All staff compensation as % of total expenditure in public institutions (%),71.4
4,Afghanistan,2015,Capital expenditure as % of total expenditure in public institutions (%),19.6
4,Afghanistan,2019,Basic access to computers by level of education: Primary,9.0
4,Afghanistan,2019,Basic access to computers by level of education: Lower secondary,10
4,Afghanistan,2019,Basic access to computers by level of education: Upper secondary,23
8,Albania,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.5
8,Albania,2015,All staff compensation as % of total expenditure in public institutions (%),79.5
8,Albania,2015,Capital expenditure as % of total expenditure in public institutions (%),8.1
8,Albania,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.4
8,Albania,2021,All staff compensation as % of total expenditure in public institutions (%),84.2
8,Albania,2021,Capital expenditure as % of total expenditure in public institutions (%),8.4
8,Albania,2021,Basic access to computers by level of education: Primary,83.0
8,Albania,2021,Basic access to computers by level of education: Lower secondary,83
8,Albania,2021,Basic access to computers by level of education: Upper secondary,67
8,Albania,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.9
8,Albania,2022,All staff compensation as % of total expenditure in public institutions (%),80.4
8,Albania,2022,Capital expenditure as % of total expenditure in public institutions (%),10.6
12,Algeria,2023,Basic access to computers by level of education: Primary,61.9
12,Algeria,2023,Basic access to computers by level of education: Lower secondary,99
12,Algeria,2023,Basic access to computers by level of education: Upper secondary,99
16,American Samoa,2006,Capital expenditure as % of total expenditure in public institutions (%),6.2
20,Andorra,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.9
20,Andorra,2010,All staff compensation as % of total expenditure in public institutions (%),36.7
20,Andorra,2010,Capital expenditure as % of total expenditure in public institutions (%),1.7
20,Andorra,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),59.4
20,Andorra,2013,All staff compensation as % of total expenditure in public institutions (%),40.0
20,Andorra,2013,Capital expenditure as % of total expenditure in public institutions (%),0.6
20,Andorra,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),63.6
20,Andorra,2015,Capital expenditure as % of total expenditure in public institutions (%),1.3
20,Andorra,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),58.1
20,Andorra,2022,All staff compensation as % of total expenditure in public institutions (%),40.7
20,Andorra,2022,Capital expenditure as % of total expenditure in public institutions (%),1.3
20,Andorra,2022,Basic access to computers by level of education: Primary,100.0
20,Andorra,2022,Basic access to computers by level of education: Lower secondary,100
20,Andorra,2022,Basic access to computers by level of education: Upper secondary,100
24,Angola,2006,Capital expenditure as % of total expenditure in public institutions (%),24.3
24,Angola,2016,Basic access to computers by level of education: Primary,7.0
24,Angola,2016,Basic access to computers by level of education: Lower secondary,25
24,Angola,2016,Basic access to computers by level of education: Upper secondary,49
660,Anguilla,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.7
