Region/Country/Area,Country/Area name,Year,Variables,"Enrollment in primary, lower secondary and upper secondary education levels"
1,"Total, all countries or areas",2005,Students enrolled in primary education (thousands),"680,726"
1,"Total, all countries or areas",2005,Gross enrollment ratio - Primary (male),104.5
1,"Total, all countries or areas",2005,Gross enrollment ratio - Primary (female),99.8
1,"Total, all countries or areas",2005,Students enrolled in lower secondary education (thousands),"311,138"
1,"Total, all countries or areas",2005,Gross enrollment ratio - Lower secondary level (male),80.7
1,"Total, all countries or areas",2005,Gross enrollment ratio - Lower secondary level (female),76.6
1,"Total, all countries or areas",2005,Students enrolled in upper secondary education (thousands),"198,301"
1,"Total, all countries or areas",2005,Gross enrollment ratio - Upper secondary level (male),51.2
1,"Total, all countries or areas",2005,Gross enrollment ratio - Upper secondary level (female),48.3
1,"Total, all countries or areas",2010,Students enrolled in primary education (thousands),"696,905"
1,"Total, all countries or areas",2010,Gross enrollment ratio - Primary (male),103.7
1,"Total, all countries or areas",2010,Gross enrollment ratio - Primary (female),100.9
1,"Total, all countries or areas",2010,Students enrolled in lower secondary education (thousands),"315,870"
1,"Total, all countries or areas",2010,Gross enrollment ratio - Lower secondary level (male),83.8
1,"Total, all countries or areas",2010,Gross enrollment ratio - Lower secondary level (female),81.4
1,"Total, all countries or areas",2010,Students enrolled in upper secondary education (thousands),"229,775"
1,"Total, all countries or areas",2010,Gross enrollment ratio - Upper secondary level (male),60.2
1,"Total, all countries or areas",2010,Gross enrollment ratio - Upper secondary level (female),57.7
1,"Total, all countries or areas",2015,Students enrolled in primary education (thousands),"719,788"
1,"Total, all countries or areas",2015,Gross enrollment ratio - Primary (male),101.5
1,"Total, all countries or areas",2015,Gross enrollment ratio - Primary (female),101.1
1,"Total, all countries or areas",2015,Students enrolled in lower secondary education (thousands),"325,454"
1,"Total, all countries or areas",2015,Gross enrollment ratio - Lower secondary level (male),83.8
1,"Total, all countries or areas",2015,Gross enrollment ratio - Lower secondary level (female),83.3
1,"Total, all countries or areas",2015,Students enrolled in upper secondary education (thousands),"257,435"
1,"Total, all countries or areas",2015,Gross enrollment ratio - Upper secondary level (male),67.1
1,"Total, all countries or areas",2015,Gross enrollment ratio - Upper secondary level (female),65.6
1,"Total, all countries or areas",2022,Students enrolled in primary education (thousands),"770,830"
1,"Total, all countries or areas",2022,Gross enrollment ratio - Primary (male),102.3
1,"Total, all countries or areas",2022,Gross enrollment ratio - Primary (female),100.5
1,"Total, all countries or areas",2022,Students enrolled in lower secondary education (thousands),"356,335"
1,"Total, all countries or areas",2022,Gross enrollment ratio - Lower secondary level (male),84.7
1,"Total, all countries or areas",2022,Gross enrollment ratio - Lower secondary level (female),84.0
1,"Total, all countries or areas",2022,Students enrolled in upper secondary education (thousands),"283,279"
1,"Total, all countries or areas",2022,Gross enrollment ratio - Upper secondary level (male),70.2
1,"Total, all countries or areas",2022,Gross enrollment ratio - Upper secondary level (female),69.2
15,Northern Africa,2005,Students enrolled in primary education (thousands),"23,023"
15,Northern Africa,2005,Gross enrollment ratio - Primary (male),95.7
15,Northern Africa,2005,Gross enrollment ratio - Primary (female),89.3
15,Northern Africa,2005,Students enrolled in lower secondary education (thousands),"10,029"
15,Northern Africa,2005,Gross enrollment ratio - Lower secondary level (male),86.8
15,Northern Africa,2005,Gross enrollment ratio - Lower secondary level (female),81.8
15,Northern Africa,2005,Students enrolled in upper secondary education (thousands),"6,858"
15,Northern Africa,2005,Gross enrollment ratio - Upper secondary level (male),51.1
15,Northern Africa,2005,Gross enrollment ratio - Upper secondary level (female),55.0
15,Northern Africa,2010,Students enrolled in primary education (thousands),"23,635"
15,Northern Africa,2010,Gross enrollment ratio - Primary (male),98.0
15,Northern Africa,2010,Gross enrollment ratio - Primary (female),92.7
15,Northern Africa,2010,Students enrolled in lower secondary education (thousands),"11,130"
15,Northern Africa,2010,Gross enrollment ratio - Lower secondary level (male),95.0
15,Northern Africa,2010,Gross enrollment ratio - Lower secondary level (female),88.7
15,Northern Africa,2010,Students enrolled in upper secondary education (thousands),"6,275"
15,Northern Africa,2010,Gross enrollment ratio - Upper secondary level (male),47.4
15,Northern Africa,2010,Gross enrollment ratio - Upper secondary level (female),51.1
15,Northern Africa,2015,Students enrolled in primary education (thousands),"25,874"
15,Northern Africa,2015,Gross enrollment ratio - Primary (male),97.3
15,Northern Africa,2015,Gross enrollment ratio - Primary (female),93.4
15,Northern Africa,2015,Students enrolled in lower secondary education (thousands),"11,666"
15,Northern Africa,2015,Gross enrollment ratio - Lower secondary level (male),96.5
15,Northern Africa,2015,Gross enrollment ratio - Lower secondary level (female),91.6
15,Northern Africa,2015,Students enrolled in upper secondary education (thousands),"7,532"
15,Northern Africa,2015,Gross enrollment ratio - Upper secondary level (male),58.5
15,Northern Africa,2015,Gross enrollment ratio - Upper secondary level (female),62.0
15,Northern Africa,2022,Students enrolled in primary education (thousands),"31,383"
15,Northern Africa,2022,Gross enrollment ratio - Primary (male),95.6
15,Northern Africa,2022,Gross enrollment ratio - Primary (female),93.5
15,Northern Africa,2022,Students enrolled in lower secondary education (thousands),"14,950"
15,Northern Africa,2022,Gross enrollment ratio - Lower secondary level (male),97.5
15,Northern Africa,2022,Gross enrollment ratio - Lower secondary level (female),92.9
15,Northern Africa,2022,Students enrolled in upper secondary education (thousands),"9,179"
15,Northern Africa,2022,Gross enrollment ratio - Upper secondary level (male),64.6
15,Northern Africa,2022,Gross enrollment ratio - Upper secondary level (female),69.6
202,Sub-Saharan Africa,2005,Students enrolled in primary education (thousands),"113,432"
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Primary (male),99.1
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Primary (female),87.3
202,Sub-Saharan Africa,2005,Students enrolled in lower secondary education (thousands),"20,727"
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Lower secondary level (male),42.0
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Lower secondary level (female),33.1
202,Sub-Saharan Africa,2005,Students enrolled in upper secondary education (thousands),"11,200"
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Upper secondary level (male),26.8
202,Sub-Saharan Africa,2005,Gross enrollment ratio - Upper secondary level (female),20.7
202,Sub-Saharan Africa,2010,Students enrolled in primary education (thousands),"135,997"
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Primary (male),101.3
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Primary (female),93.6
202,Sub-Saharan Africa,2010,Students enrolled in lower secondary education (thousands),"28,640"
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Lower secondary level (male),50.2
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Lower secondary level (female),42.1
202,Sub-Saharan Africa,2010,Students enrolled in upper secondary education (thousands),"16,019"
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Upper secondary level (male),34.1
202,Sub-Saharan Africa,2010,Gross enrollment ratio - Upper secondary level (female),26.5
202,Sub-Saharan Africa,2015,Students enrolled in primary education (thousands),"157,266"
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Primary (male),100.1
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Primary (female),95.3
202,Sub-Saharan Africa,2015,Students enrolled in lower secondary education (thousands),"36,584"
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Lower secondary level (male),53.6
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Lower secondary level (female),47.9
202,Sub-Saharan Africa,2015,Students enrolled in upper secondary education (thousands),"19,919"
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Upper secondary level (male),37.6
202,Sub-Saharan Africa,2015,Gross enrollment ratio - Upper secondary level (female),30.3
202,Sub-Saharan Africa,2022,Students enrolled in primary education (thousands),"189,519"
202,Sub-Saharan Africa,2022,Gross enrollment ratio - Primary (male),101.3
202,Sub-Saharan Africa,2022,Gross enrollment ratio - Primary (female),97.9
202,Sub-Saharan Africa,2022,Students enrolled in lower secondary education (thousands),"45,064"
202,Sub-Saharan Africa,2022,Gross enrollment ratio - Lower secondary level (male),53.8
202,Sub-Saharan Africa,2022,Gross enrollment ratio - Lower secondary level (female),49.4
202,Sub-Saharan Africa,2022,Students enrolled in upper secondary education (thousands),"26,270"
202,Sub-Saharan Africa,2022,Gross enrollment ratio - Upper secondary level (male),38.3
202,Sub-Saharan Africa,2022,Gross enrollment ratio - Upper secondary level (female),33.6
