Region/Country/Area,Country/Area name,Year,Variables,"Teaching staff at the primary, lower secondary and upper secondary levels"
1,"Total, all countries or areas",2005,Teachers at primary level,"26,893,023"
1,"Total, all countries or areas",2005,Teachers at lower secondary level,"16,760,100"
1,"Total, all countries or areas",2005,Teachers at upper secondary level,"11,883,292"
1,"Total, all countries or areas",2010,Teachers at primary level,"28,676,377"
1,"Total, all countries or areas",2010,Teachers at lower secondary level,"17,877,582"
1,"Total, all countries or areas",2010,Teachers at upper secondary level,"14,335,596"
1,"Total, all countries or areas",2015,Teachers at primary level,"31,266,360"
1,"Total, all countries or areas",2015,Teachers with minimum required qualifications at primary level,85.9
1,"Total, all countries or areas",2015,Teachers at lower secondary level,"18,751,487"
1,"Total, all countries or areas",2015,Teachers with minimum required qualifications at lower secondary level,86.0
1,"Total, all countries or areas",2015,Teachers at upper secondary level,"14,957,666"
1,"Total, all countries or areas",2021,Teachers at primary level,"33,614,436"
1,"Total, all countries or areas",2021,Teachers with minimum required qualifications at primary level,86.6
1,"Total, all countries or areas",2021,Teachers at lower secondary level,"21,736,452"
1,"Total, all countries or areas",2021,Teachers with minimum required qualifications at lower secondary level,84.3
1,"Total, all countries or areas",2021,Teachers at upper secondary level,"17,196,924"
1,"Total, all countries or areas",2021,Teachers with minimum required qualifications at upper secondary level,86.8
1,"Total, all countries or areas",2022,Teachers at primary level,"33,749,089"
1,"Total, all countries or areas",2022,Teachers with minimum required qualifications at primary level,85.7
1,"Total, all countries or areas",2022,Teachers at lower secondary level,"21,900,955"
1,"Total, all countries or areas",2022,Teachers at upper secondary level,"17,711,273"
15,Northern Africa,2005,Teachers at primary level,"944,313"
15,Northern Africa,2005,Teachers with minimum required qualifications at primary level,97.4
15,Northern Africa,2005,Teachers at lower secondary level,"507,300"
15,Northern Africa,2005,Teachers at upper secondary level,"486,413"
15,Northern Africa,2007,Teachers at primary level,"952,074"
15,Northern Africa,2007,Teachers with minimum required qualifications at primary level,97.1
15,Northern Africa,2007,Teachers at lower secondary level,"548,484"
15,Northern Africa,2007,Teachers at upper secondary level,"495,076"
15,Northern Africa,2010,Teachers at primary level,"973,788"
15,Northern Africa,2010,Teachers at lower secondary level,"622,844"
15,Northern Africa,2010,Teachers at upper secondary level,"542,647"
15,Northern Africa,2015,Teachers at primary level,"1,148,562"
15,Northern Africa,2015,Teachers with minimum required qualifications at primary level,88.3
15,Northern Africa,2015,Teachers at lower secondary level,"645,653"
15,Northern Africa,2015,Teachers with minimum required qualifications at lower secondary level,83.8
15,Northern Africa,2015,Teachers at upper secondary level,"587,507"
15,Northern Africa,2015,Teachers with minimum required qualifications at upper secondary level,78.8
15,Northern Africa,2022,Teachers at primary level,"1,231,142"
15,Northern Africa,2022,Teachers with minimum required qualifications at primary level,96.2
15,Northern Africa,2022,Teachers at lower secondary level,"724,059"
15,Northern Africa,2022,Teachers with minimum required qualifications at lower secondary level,94.6
15,Northern Africa,2022,Teachers at upper secondary level,"585,528"
15,Northern Africa,2022,Teachers with minimum required qualifications at upper secondary level,95.2
202,Sub-Saharan Africa,2005,Teachers at primary level,"2,577,292"
202,Sub-Saharan Africa,2005,Teachers with minimum required qualifications at primary level,75.6
202,Sub-Saharan Africa,2005,Teachers at lower secondary level,"712,711"
202,Sub-Saharan Africa,2005,Teachers at upper secondary level,"458,121"
202,Sub-Saharan Africa,2010,Teachers at primary level,"3,170,264"
202,Sub-Saharan Africa,2010,Teachers with minimum required qualifications at primary level,75.3
202,Sub-Saharan Africa,2010,Teachers at lower secondary level,"1,128,195"
202,Sub-Saharan Africa,2010,Teachers with minimum required qualifications at lower secondary level,65.4
202,Sub-Saharan Africa,2010,Teachers at upper secondary level,"736,694"
202,Sub-Saharan Africa,2010,Teachers with minimum required qualifications at upper secondary level,55.8
202,Sub-Saharan Africa,2015,Teachers at primary level,"4,052,317"
202,Sub-Saharan Africa,2015,Teachers with minimum required qualifications at primary level,71.9
202,Sub-Saharan Africa,2015,Teachers at lower secondary level,"1,576,616"
202,Sub-Saharan Africa,2015,Teachers with minimum required qualifications at lower secondary level,56.6
202,Sub-Saharan Africa,2015,Teachers at upper secondary level,"1,206,927"
202,Sub-Saharan Africa,2015,Teachers with minimum required qualifications at upper secondary level,55.4
202,Sub-Saharan Africa,2019,Teachers at primary level,"4,628,013"
202,Sub-Saharan Africa,2019,Teachers with minimum required qualifications at primary level,69.9
202,Sub-Saharan Africa,2019,Teachers at lower secondary level,"1,794,108"
202,Sub-Saharan Africa,2019,Teachers with minimum required qualifications at lower secondary level,56.7
202,Sub-Saharan Africa,2019,Teachers at upper secondary level,"1,374,239"
202,Sub-Saharan Africa,2019,Teachers with minimum required qualifications at upper secondary level,63.9
202,Sub-Saharan Africa,2021,Teachers at primary level,"4,838,624"
202,Sub-Saharan Africa,2021,Teachers with minimum required qualifications at primary level,69.0
202,Sub-Saharan Africa,2021,Teachers at lower secondary level,"1,908,687"
202,Sub-Saharan Africa,2021,Teachers at upper secondary level,"1,489,047"
202,Sub-Saharan Africa,2022,Teachers at primary level,"4,930,932"
202,Sub-Saharan Africa,2022,Teachers at lower secondary level,"1,997,632"
202,Sub-Saharan Africa,2022,Teachers at upper secondary level,"1,530,261"
21,Northern America,2005,Teachers at primary level,"1,781,228"
