Region/Country/Area,Country/Area name,Year,Variables,"Enrollment in primary, lower secondary and upper secondary education levels"
53,Australia and New Zealand,2005,Students enrolled in primary education (thousands),"2,288"
53,Australia and New Zealand,2005,Gross enrollment ratio - Primary (male),103.1
53,Australia and New Zealand,2005,Gross enrollment ratio - Primary (female),102.6
53,Australia and New Zealand,2005,Students enrolled in lower secondary education (thousands),"1,579"
53,Australia and New Zealand,2005,Gross enrollment ratio - Lower secondary level (male),115.8
53,Australia and New Zealand,2005,Gross enrollment ratio - Lower secondary level (female),115.5
53,Australia and New Zealand,2005,Students enrolled in upper secondary education (thousands),"1,531"
53,Australia and New Zealand,2005,Gross enrollment ratio - Upper secondary level (male),214.2
53,Australia and New Zealand,2005,Gross enrollment ratio - Upper secondary level (female),202.9
53,Australia and New Zealand,2010,Students enrolled in primary education (thousands),"2,364"
53,Australia and New Zealand,2010,Gross enrollment ratio - Primary (male),104.7
53,Australia and New Zealand,2010,Gross enrollment ratio - Primary (female),104.3
53,Australia and New Zealand,2010,Students enrolled in lower secondary education (thousands),"1,614"
53,Australia and New Zealand,2010,Gross enrollment ratio - Lower secondary level (male),121.3
53,Australia and New Zealand,2010,Gross enrollment ratio - Lower secondary level (female),115.3
53,Australia and New Zealand,2010,Students enrolled in upper secondary education (thousands),"1,567"
53,Australia and New Zealand,2010,Gross enrollment ratio - Upper secondary level (male),214.3
53,Australia and New Zealand,2010,Gross enrollment ratio - Upper secondary level (female),196.4
53,Australia and New Zealand,2015,Students enrolled in primary education (thousands),"2,509"
53,Australia and New Zealand,2015,Gross enrollment ratio - Primary (male),101.2
53,Australia and New Zealand,2015,Gross enrollment ratio - Primary (female),101.2
53,Australia and New Zealand,2015,Students enrolled in lower secondary education (thousands),"1,651"
53,Australia and New Zealand,2015,Gross enrollment ratio - Lower secondary level (male),127.1
53,Australia and New Zealand,2015,Gross enrollment ratio - Lower secondary level (female),114.6
53,Australia and New Zealand,2015,Students enrolled in upper secondary education (thousands),"1,546"
53,Australia and New Zealand,2015,Gross enrollment ratio - Upper secondary level (male),214.4
53,Australia and New Zealand,2015,Gross enrollment ratio - Upper secondary level (female),190.3
53,Australia and New Zealand,2022,Students enrolled in primary education (thousands),"2,647"
53,Australia and New Zealand,2022,Gross enrollment ratio - Primary (male),99.5
53,Australia and New Zealand,2022,Gross enrollment ratio - Primary (female),99.8
53,Australia and New Zealand,2022,Students enrolled in lower secondary education (thousands),"1,708"
53,Australia and New Zealand,2022,Gross enrollment ratio - Lower secondary level (male),109.6
53,Australia and New Zealand,2022,Gross enrollment ratio - Lower secondary level (female),106.7
53,Australia and New Zealand,2022,Students enrolled in upper secondary education (thousands),"1,435"
53,Australia and New Zealand,2022,Gross enrollment ratio - Upper secondary level (male),179.7
53,Australia and New Zealand,2022,Gross enrollment ratio - Upper secondary level (female),178.1
8,Albania,2005,Students enrolled in primary education (thousands),238
8,Albania,2005,Gross enrollment ratio - Primary (male),112.9
8,Albania,2005,Gross enrollment ratio - Primary (female),109.6
8,Albania,2005,Students enrolled in lower secondary education (thousands),251
8,Albania,2005,Gross enrollment ratio - Lower secondary level (male),105.4
8,Albania,2005,Gross enrollment ratio - Lower secondary level (female),101.0
8,Albania,2005,Students enrolled in upper secondary education (thousands),156
8,Albania,2005,Gross enrollment ratio - Upper secondary level (male),65.6
8,Albania,2005,Gross enrollment ratio - Upper secondary level (female),59.2
8,Albania,2010,Students enrolled in primary education (thousands),225
8,Albania,2010,Gross enrollment ratio - Primary (male),109.2
8,Albania,2010,Gross enrollment ratio - Primary (female),107.7
8,Albania,2010,Students enrolled in lower secondary education (thousands),215
8,Albania,2010,Gross enrollment ratio - Lower secondary level (male),105.0
8,Albania,2010,Gross enrollment ratio - Lower secondary level (female),102.7
8,Albania,2010,Students enrolled in upper secondary education (thousands),141
8,Albania,2010,Gross enrollment ratio - Upper secondary level (male),87.1
8,Albania,2010,Gross enrollment ratio - Upper secondary level (female),76.8
8,Albania,2015,Students enrolled in primary education (thousands),188
8,Albania,2015,Gross enrollment ratio - Primary (male),115.0
8,Albania,2015,Gross enrollment ratio - Primary (female),111.5
8,Albania,2015,Students enrolled in lower secondary education (thousands),175
8,Albania,2015,Gross enrollment ratio - Lower secondary level (male),108.6
8,Albania,2015,Gross enrollment ratio - Lower secondary level (female),105.5
8,Albania,2015,Students enrolled in upper secondary education (thousands),140
8,Albania,2015,Gross enrollment ratio - Upper secondary level (male),105.3
8,Albania,2015,Gross enrollment ratio - Upper secondary level (female),91.5
8,Albania,2022,Students enrolled in primary education (thousands),154
8,Albania,2022,Gross enrollment ratio - Primary (male),98.5
8,Albania,2022,Gross enrollment ratio - Primary (female),92.7
8,Albania,2022,Students enrolled in lower secondary education (thousands),124
8,Albania,2022,Gross enrollment ratio - Lower secondary level (male),98.2
8,Albania,2022,Gross enrollment ratio - Lower secondary level (female),91.4
8,Albania,2022,Students enrolled in upper secondary education (thousands),103
8,Albania,2022,Gross enrollment ratio - Upper secondary level (male),101.9
8,Albania,2022,Gross enrollment ratio - Upper secondary level (female),91.4
20,Andorra,2005,Students enrolled in primary education (thousands),4
20,Andorra,2005,Gross enrollment ratio - Primary (male),84.9
20,Andorra,2005,Gross enrollment ratio - Primary (female),83.6
20,Andorra,2005,Students enrolled in lower secondary education (thousands),3
20,Andorra,2005,Gross enrollment ratio - Lower secondary level (male),93.2
20,Andorra,2005,Gross enrollment ratio - Lower secondary level (female),99.9
20,Andorra,2005,Students enrolled in upper secondary education (thousands),1
20,Andorra,2005,Gross enrollment ratio - Upper secondary level (male),59.0
20,Andorra,2005,Gross enrollment ratio - Upper secondary level (female),72.5
20,Andorra,2010,Students enrolled in primary education (thousands),4
20,Andorra,2010,Gross enrollment ratio - Primary (male),91.0
20,Andorra,2010,Gross enrollment ratio - Primary (female),89.2
20,Andorra,2010,Students enrolled in lower secondary education (thousands),3
20,Andorra,2010,Gross enrollment ratio - Lower secondary level (male),93.8
20,Andorra,2010,Gross enrollment ratio - Lower secondary level (female),95.0
20,Andorra,2010,Students enrolled in upper secondary education (thousands),1
20,Andorra,2010,Gross enrollment ratio - Upper secondary level (male),72.6
20,Andorra,2010,Gross enrollment ratio - Upper secondary level (female),90.7
20,Andorra,2015,Students enrolled in primary education (thousands),4
20,Andorra,2015,Gross enrollment ratio - Primary (male),89.6
20,Andorra,2015,Gross enrollment ratio - Primary (female),88.2
20,Andorra,2015,Students enrolled in lower secondary education (thousands),3
20,Andorra,2015,Gross enrollment ratio - Lower secondary level (male),97.7
20,Andorra,2015,Gross enrollment ratio - Lower secondary level (female),92.2
20,Andorra,2015,Students enrolled in upper secondary education (thousands),1
20,Andorra,2015,Gross enrollment ratio - Upper secondary level (male),83.8
20,Andorra,2015,Gross enrollment ratio - Upper secondary level (female),91.6
20,Andorra,2022,Students enrolled in primary education (thousands),4
20,Andorra,2022,Gross enrollment ratio - Primary (male),90.4
20,Andorra,2022,Gross enrollment ratio - Primary (female),89.9
20,Andorra,2022,Students enrolled in lower secondary education (thousands),3
20,Andorra,2022,Gross enrollment ratio - Lower secondary level (male),96.7
20,Andorra,2022,Gross enrollment ratio - Lower secondary level (female),94.0
20,Andorra,2022,Students enrolled in upper secondary education (thousands),2
20,Andorra,2022,Gross enrollment ratio - Upper secondary level (male),100.0
20,Andorra,2022,Gross enrollment ratio - Upper secondary level (female),103.7
36,Australia,2005,Students enrolled in primary education (thousands),"1,935"
36,Australia,2005,Gross enrollment ratio - Primary (male),103.6
36,Australia,2005,Gross enrollment ratio - Primary (female),103.2
36,Australia,2010,Students enrolled in primary education (thousands),"2,015"
36,Australia,2010,Gross enrollment ratio - Primary (male),105.8
36,Australia,2010,Gross enrollment ratio - Primary (female),105.2
36,Australia,2015,Students enrolled in primary education (thousands),"2,141"
36,Australia,2015,Gross enrollment ratio - Primary (male),101.7
36,Australia,2015,Gross enrollment ratio - Primary (female),101.6
36,Australia,2015,Students enrolled in lower secondary education (thousands),"1,408"
36,Australia,2015,Gross enrollment ratio - Lower secondary level (male),132.3
36,Australia,2015,Gross enrollment ratio - Lower secondary level (female),117.2
36,Australia,2015,Students enrolled in upper secondary education (thousands),"1,301"
36,Australia,2015,Gross enrollment ratio - Upper secondary level (male),243.9
36,Australia,2015,Gross enrollment ratio - Upper secondary level (female),207.0
