Region/Country/Area,Country/Area name,Year,Variables,"Teaching staff at the primary, lower secondary and upper secondary levels"
8,Albania,2003,Teachers at primary level,"11,762"
8,Albania,2003,Teachers at lower secondary level,"16,028"
8,Albania,2003,Teachers at upper secondary level,"6,396"
8,Albania,2005,Teachers at upper secondary level,"7,384"
8,Albania,2010,Teachers at primary level,"11,409"
8,Albania,2010,Teachers at lower secondary level,"15,832"
8,Albania,2010,Teachers at upper secondary level,"8,250"
8,Albania,2015,Teachers at primary level,"10,119"
8,Albania,2015,Teachers at lower secondary level,"14,658"
8,Albania,2015,Teachers at upper secondary level,"8,671"
8,Albania,2021,Teachers at primary level,"9,738"
8,Albania,2021,Teachers with minimum required qualifications at primary level,61.8
8,Albania,2021,Teachers at lower secondary level,"14,705"
8,Albania,2021,Teachers with minimum required qualifications at lower secondary level,70.6
8,Albania,2021,Teachers at upper secondary level,"8,584"
8,Albania,2021,Teachers with minimum required qualifications at upper secondary level,60.9
8,Albania,2022,Teachers at primary level,"9,668"
8,Albania,2022,Teachers at lower secondary level,"14,732"
8,Albania,2022,Teachers at upper secondary level,"8,658"
20,Andorra,2005,Teachers at primary level,356
20,Andorra,2005,Teachers at lower secondary level,414
20,Andorra,2005,Teachers at upper secondary level,68
20,Andorra,2010,Teachers at primary level,453
20,Andorra,2010,Teachers with minimum required qualifications at primary level,100.0
20,Andorra,2010,Teachers at lower secondary level,417
20,Andorra,2010,Teachers with minimum required qualifications at lower secondary level,100.0
20,Andorra,2012,Teachers at primary level,431
20,Andorra,2012,Teachers with minimum required qualifications at primary level,100.0
20,Andorra,2012,Teachers at lower secondary level,417
20,Andorra,2012,Teachers with minimum required qualifications at lower secondary level,100.0
20,Andorra,2015,Teachers at primary level,419
20,Andorra,2015,Teachers with minimum required qualifications at primary level,100.0
20,Andorra,2022,Teachers at primary level,422
20,Andorra,2022,Teachers with minimum required qualifications at primary level,100.0
20,Andorra,2022,Teachers with minimum required qualifications at upper secondary level,100.0
40,Austria,2005,Teachers at primary level,"29,239"
40,Austria,2005,Teachers at lower secondary level,"42,402"
40,Austria,2005,Teachers at upper secondary level,"28,733"
40,Austria,2010,Teachers at primary level,"29,743"
40,Austria,2010,Teachers at lower secondary level,"42,450"
40,Austria,2010,Teachers at upper secondary level,"32,126"
40,Austria,2015,Teachers at primary level,"30,972"
40,Austria,2015,Teachers at lower secondary level,"42,227"
40,Austria,2015,Teachers at upper secondary level,"29,936"
