Region/Country/Area,Country/Area name,Year,Variables,Data values
1,"Total, all countries or areas",1995,Ratio of girls to boys in primary education,0.91
1,"Total, all countries or areas",1995,Ratio of girls to boys in lower secondary education,0.9
1,"Total, all countries or areas",1995,Ratio of girls to boys in upper secondary education,0.83
9,Oceania,1995,Ratio of girls to boys in primary education,0.99
9,Oceania,1995,Ratio of girls to boys in lower secondary education,1.02
9,Oceania,1995,Ratio of girls to boys in upper secondary education,1
15,Northern Africa,1995,Ratio of girls to boys in primary education,0.87
15,Northern Africa,1995,Ratio of girls to boys in lower secondary education,0.84
15,Northern Africa,1995,Ratio of girls to boys in upper secondary education,0.93
21,Northern America,1995,Ratio of girls to boys in primary education,0.99
21,Northern America,1995,Ratio of girls to boys in lower secondary education,0.99
21,Northern America,1995,Ratio of girls to boys in upper secondary education,1.05
30,Eastern Asia,1995,Ratio of girls to boys in primary education,0.97
30,Eastern Asia,1995,Ratio of girls to boys in lower secondary education,0.89
30,Eastern Asia,1995,Ratio of girls to boys in upper secondary education,0.88
34,Southern Asia,1995,Ratio of girls to boys in primary education,0.8
34,Southern Asia,1995,Ratio of girls to boys in lower secondary education,0.77
34,Southern Asia,1995,Ratio of girls to boys in upper secondary education,0.49
35,South-eastern Asia,1995,Ratio of girls to boys in primary education,0.98
35,South-eastern Asia,1995,Ratio of girls to boys in lower secondary education,0.93
35,South-eastern Asia,1995,Ratio of girls to boys in upper secondary education,0.94
62,South-central Asia,1995,Ratio of girls to boys in primary education,0.81
62,South-central Asia,1995,Ratio of girls to boys in lower secondary education,0.78
62,South-central Asia,1995,Ratio of girls to boys in upper secondary education,0.51
143,Central Asia,1995,Ratio of girls to boys in primary education,0.96
145,Western Asia,1995,Ratio of girls to boys in primary education,0.88
145,Western Asia,1995,Ratio of girls to boys in lower secondary education,0.8
145,Western Asia,1995,Ratio of girls to boys in upper secondary education,0.7
150,Europe,1995,Ratio of girls to boys in primary education,0.99
150,Europe,1995,Ratio of girls to boys in lower secondary education,1
150,Europe,1995,Ratio of girls to boys in upper secondary education,1.03
199,LDC§,1995,Ratio of girls to boys in primary education,0.81
202,Sub-Saharan Africa,1995,Ratio of girls to boys in primary education,0.84
419,Latin America & the Caribbean,1995,Ratio of girls to boys in primary education,0.97
432,LLDCs,1995,Ratio of girls to boys in primary education,0.82
722,SIDS,1995,Ratio of girls to boys in primary education,0.96
1,"Total, all countries or areas",2005,Gross enrollment ratio - Primary (male),104.5
1,"Total, all countries or areas",2005,Gross enrollment ratio - Primary (female),99.8
1,"Total, all countries or areas",2005,Students enrolled in lower secondary education (thousands),"311,138"
1,"Total, all countries or areas",2005,Gross enrollment ratio - Lower secondary level (male),80.7
1,"Total, all countries or areas",2005,Gross enrollment ratio - Lower secondary level (female),76.6
1,"Total, all countries or areas",2005,Students enrolled in upper secondary education (thousands),"198,301"
1,"Total, all countries or areas",2005,Gross enrollment ratio - Upper secondary level (male),51.2
1,"Total, all countries or areas",2005,Gross enrollment ratio - Upper secondary level (female),48.3
1,"Total, all countries or areas",2005,Teachers at primary level,"26,893,023"
1,"Total, all countries or areas",2005,Teachers at lower secondary level,"16,760,100"
1,"Total, all countries or areas",2005,Teachers at upper secondary level,"11,883,292"
1,"Total, all countries or areas",2005,Ratio of girls to boys in primary education,0.95
1,"Total, all countries or areas",2005,Ratio of girls to boys in lower secondary education,0.95
1,"Total, all countries or areas",2005,Ratio of girls to boys in upper secondary education,0.94
9,Oceania,2005,Students enrolled in primary education (thousands),"3,143"
9,Oceania,2005,Gross enrollment ratio - Primary (male),91.1
9,Oceania,2005,Gross enrollment ratio - Primary (female),89.5
9,Oceania,2005,Students enrolled in lower secondary education (thousands),"1,891"
9,Oceania,2005,Gross enrollment ratio - Lower secondary level (male),104.4
9,Oceania,2005,Gross enrollment ratio - Lower secondary level (female),102.7
9,Oceania,2005,Students enrolled in upper secondary education (thousands),"1,674"
9,Oceania,2005,Gross enrollment ratio - Upper secondary level (male),117.9
9,Oceania,2005,Gross enrollment ratio - Upper secondary level (female),113
9,Oceania,2005,Teachers at primary level,"158,795"
9,Oceania,2005,Ratio of girls to boys in primary education,0.98
9,Oceania,2005,Ratio of girls to boys in lower secondary education,0.98
9,Oceania,2005,Ratio of girls to boys in upper secondary education,0.96
15,Northern Africa,2005,Students enrolled in primary education (thousands),"23,023"
15,Northern Africa,2005,Gross enrollment ratio - Primary (male),95.7
15,Northern Africa,2005,Gross enrollment ratio - Primary (female),89.3
15,Northern Africa,2005,Students enrolled in lower secondary education (thousands),"10,029"
15,Northern Africa,2005,Gross enrollment ratio - Lower secondary level (male),86.8
15,Northern Africa,2005,Gross enrollment ratio - Lower secondary level (female),81.8
15,Northern Africa,2005,Students enrolled in upper secondary education (thousands),"6,858"
15,Northern Africa,2005,Gross enrollment ratio - Upper secondary level (male),51.1
15,Northern Africa,2005,Gross enrollment ratio - Upper secondary level (female),55
15,Northern Africa,2005,Teachers at primary level,"944,313"
15,Northern Africa,2005,Teachers with minimum required qualifications at primary level,97.4
15,Northern Africa,2005,Teachers at lower secondary level,"507,300"
15,Northern Africa,2005,Teachers at upper secondary level,"486,413"
15,Northern Africa,2005,Ratio of girls to boys in primary education,0.93
15,Northern Africa,2005,Ratio of girls to boys in lower secondary education,0.94
15,Northern Africa,2005,Ratio of girls to boys in upper secondary education,1.07
21,Northern America,2005,Students enrolled in primary education (thousands),"26,759"
21,Northern America,2005,Gross enrollment ratio - Primary (male),102.1
21,Northern America,2005,Gross enrollment ratio - Primary (female),101
21,Northern America,2005,Students enrolled in lower secondary education (thousands),"14,006"
21,Northern America,2005,Gross enrollment ratio - Lower secondary level (male),101.4
21,Northern America,2005,Gross enrollment ratio - Lower secondary level (female),99.8
21,Northern America,2005,Students enrolled in upper secondary education (thousands),"13,028"
21,Northern America,2005,Gross enrollment ratio - Upper secondary level (male),88.6
21,Northern America,2005,Gross enrollment ratio - Upper secondary level (female),92.7
21,Northern America,2005,Teachers at primary level,"1,781,228"
21,Northern America,2005,Teachers at lower secondary level,"889,242"
21,Northern America,2005,Teachers at upper secondary level,"897,377"
21,Northern America,2005,Ratio of girls to boys in primary education,0.99
21,Northern America,2005,Ratio of girls to boys in lower secondary education,0.98
