Region/Country/Area,Country/Area name,Year,Variables,Data values
36,Australia,2000,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.7
36,Australia,2000,All staff compensation as % of total expenditure in public institutions (%),68.3
36,Australia,2000,Capital expenditure as % of total expenditure in public institutions (%),7
124,Canada,2000,Teachers at primary level,"141,045"
268,Georgia,2000,Teachers at primary level,"17,714"
268,Georgia,2000,Teachers with minimum required qualifications at primary level,94.7
268,Georgia,2000,Teachers at lower secondary level,"40,590"
268,Georgia,2000,Teachers with minimum required qualifications at lower secondary level,76.8
268,Georgia,2000,Teachers at upper secondary level,"18,876"
268,Georgia,2000,Teachers with minimum required qualifications at upper secondary level,93
492,Monaco,2000,Students enrolled in primary education (thousands),2
492,Monaco,2000,Gross enrollment ratio - Primary (male),132.9
492,Monaco,2000,Gross enrollment ratio - Primary (female),133.5
492,Monaco,2000,Students enrolled in lower secondary education (thousands),2
492,Monaco,2000,Gross enrollment ratio - Lower secondary level (male),138.4
492,Monaco,2000,Gross enrollment ratio - Lower secondary level (female),152.8
492,Monaco,2000,Students enrolled in upper secondary education (thousands),1
492,Monaco,2000,Gross enrollment ratio - Upper secondary level (male),144.4
492,Monaco,2000,Gross enrollment ratio - Upper secondary level (female),179.9
674,San Marino,2000,Students enrolled in primary education (thousands),1
674,San Marino,2000,Gross enrollment ratio - Primary (male),93.7
674,San Marino,2000,Gross enrollment ratio - Primary (female),90.9
674,San Marino,2000,Students enrolled in lower secondary education (thousands),1
674,San Marino,2000,Gross enrollment ratio - Lower secondary level (male),92.7
674,San Marino,2000,Gross enrollment ratio - Lower secondary level (female),95.7
674,San Marino,2000,Students enrolled in upper secondary education (thousands),0
674,San Marino,2000,Gross enrollment ratio - Upper secondary level (male),19.1
674,San Marino,2000,Gross enrollment ratio - Upper secondary level (female),23.7
804,Ukraine,2000,Capital expenditure as % of total expenditure in public institutions (%),8.3
8,Albania,2005,Teachers at upper secondary level,"7,384"
8,Albania,2005,Students enrolled in primary education (thousands),238
8,Albania,2005,Gross enrollment ratio - Primary (male),112.9
8,Albania,2005,Gross enrollment ratio - Primary (female),109.6
8,Albania,2005,Students enrolled in lower secondary education (thousands),251
8,Albania,2005,Gross enrollment ratio - Lower secondary level (male),105.4
8,Albania,2005,Gross enrollment ratio - Lower secondary level (female),101
8,Albania,2005,Students enrolled in upper secondary education (thousands),156
8,Albania,2005,Gross enrollment ratio - Upper secondary level (male),65.6
8,Albania,2005,Gross enrollment ratio - Upper secondary level (female),59.2
8,Albania,2005,Ratio of girls to boys in primary education,0.97
8,Albania,2005,Ratio of girls to boys in lower secondary education,0.96
8,Albania,2005,Ratio of girls to boys in upper secondary education,0.9
20,Andorra,2005,Teachers at primary level,356
20,Andorra,2005,Teachers at lower secondary level,414
20,Andorra,2005,Teachers at upper secondary level,68
20,Andorra,2005,Students enrolled in primary education (thousands),4
20,Andorra,2005,Gross enrollment ratio - Primary (male),84.9
20,Andorra,2005,Gross enrollment ratio - Primary (female),83.6
20,Andorra,2005,Students enrolled in lower secondary education (thousands),3
20,Andorra,2005,Gross enrollment ratio - Lower secondary level (male),93.2
20,Andorra,2005,Gross enrollment ratio - Lower secondary level (female),99.9
20,Andorra,2005,Students enrolled in upper secondary education (thousands),1
20,Andorra,2005,Gross enrollment ratio - Upper secondary level (male),59
20,Andorra,2005,Gross enrollment ratio - Upper secondary level (female),72.5
20,Andorra,2005,Ratio of girls to boys in primary education,0.98
20,Andorra,2005,Ratio of girls to boys in lower secondary education,1.07
20,Andorra,2005,Ratio of girls to boys in upper secondary education,1.19
36,Australia,2005,Students enrolled in primary education (thousands),"1,935"
36,Australia,2005,Gross enrollment ratio - Primary (male),103.6
36,Australia,2005,Gross enrollment ratio - Primary (female),103.2
36,Australia,2005,Ratio of girls to boys in primary education,1
40,Austria,2005,Teachers at primary level,"29,239"
40,Austria,2005,Teachers at lower secondary level,"42,402"
40,Austria,2005,Teachers at upper secondary level,"28,733"
40,Austria,2005,Students enrolled in primary education (thousands),363
40,Austria,2005,Gross enrollment ratio - Primary (male),102.4
40,Austria,2005,Gross enrollment ratio - Primary (female),101.8
40,Austria,2005,Students enrolled in lower secondary education (thousands),399
40,Austria,2005,Gross enrollment ratio - Lower secondary level (male),102.7
40,Austria,2005,Gross enrollment ratio - Lower secondary level (female),101.5
40,Austria,2005,Students enrolled in upper secondary education (thousands),382
40,Austria,2005,Gross enrollment ratio - Upper secondary level (male),102.3
40,Austria,2005,Gross enrollment ratio - Upper secondary level (female),94
40,Austria,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.2
40,Austria,2005,All staff compensation as % of total expenditure in public institutions (%),72.1
40,Austria,2005,Capital expenditure as % of total expenditure in public institutions (%),4.7
