Year,Region/Country/Area,Teachers at lower secondary level,Teachers at primary level,Teachers at upper secondary level,Teachers with minimum required qualifications at lower secondary level,Teachers with minimum required qualifications at primary level,Teachers with minimum required qualifications at upper secondary level
2000,124,0.0,0.0,0.0,0.0,0.0,0.0
2000,268,0.0,0.0,0.0,76.8,94.7,93.0
2001,208,0.0,0.0,0.0,0.0,0.0,0.0
2001,233,0.0,0.0,0.0,0.0,0.0,0.0
2001,292,88.0,115.0,44.0,100.0,100.0,100.0
2001,492,110.0,89.0,166.0,0.0,0.0,0.0
2003,8,0.0,0.0,0.0,0.0,0.0,0.0
2003,156,0.0,0.0,0.0,0.0,0.0,0.0
2003,191,0.0,0.0,0.0,100.0,100.0,100.0
2003,268,0.0,0.0,0.0,0.0,97.4,0.0
2003,308,500.0,888.0,240.0,30.4,68.0,31.3
2003,356,0.0,0.0,0.0,0.0,0.0,0.0
2004,356,0.0,0.0,0.0,0.0,0.0,0.0
2004,620,0.0,0.0,0.0,0.0,100.0,0.0
2004,674,125.0,228.0,0.0,0.0,0.0,0.0
2005,8,0.0,0.0,0.0,0.0,0.0,0.0
2005,20,414.0,356.0,68.0,0.0,0.0,0.0
2005,40,0.0,0.0,0.0,0.0,0.0,0.0
2005,56,0.0,0.0,0.0,0.0,0.0,0.0
2005,70,0.0,0.0,0.0,0.0,0.0,0.0
2005,100,0.0,0.0,0.0,0.0,0.0,0.0
2005,112,0.0,0.0,0.0,0.0,99.8,0.0
2005,191,0.0,0.0,0.0,0.0,0.0,0.0
2005,196,0.0,0.0,0.0,0.0,0.0,0.0
2005,203,0.0,0.0,0.0,0.0,0.0,0.0
2005,246,0.0,0.0,0.0,0.0,0.0,0.0
2005,250,0.0,0.0,0.0,0.0,0.0,0.0
2005,276,0.0,0.0,0.0,0.0,0.0,0.0
2005,308,611.0,791.0,0.0,33.4,75.3,0.0
2005,344,0.0,0.0,0.0,0.0,93.2,0.0
2005,348,0.0,0.0,0.0,0.0,0.0,0.0
2005,352,0.0,0.0,0.0,0.0,0.0,0.0
