,Region/Country/Area,Region/Country/Area,Region/Country/Area,Region/Country/Area,Region/Country/Area,Region/Country/Area,Region/Country/Area,Region/Country/Area,Year,Year,Year,Year,Year,Year,Year,Year
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Variables,,,,,,,,,,,,,,,,
Gross enrollment ratio - Lower secondary level (female),225.0,401.7422222222222,230.57231830437487,8.0,208.0,392.0,616.0,840.0,225.0,2012.6622222222222,6.294246553999905,2000.0,2005.0,2010.0,2015.0,2022.0
Gross enrollment ratio - Lower secondary level (male),226.0,402.3008849557522,230.21261226018402,8.0,214.25,401.0,606.5,840.0,226.0,2012.703539823009,6.310885540306647,2000.0,2005.75,2011.0,2015.75,2022.0
Gross enrollment ratio - Primary (female),226.0,395.05309734513276,232.0260652295758,8.0,208.0,380.0,578.0,840.0,226.0,2012.8097345132744,6.276877703682088,2000.0,2008.25,2013.0,2016.0,2022.0
Gross enrollment ratio - Primary (male),226.0,395.05309734513276,232.0260652295758,8.0,208.0,380.0,578.0,840.0,226.0,2012.8097345132744,6.276877703682088,2000.0,2008.25,2013.0,2016.0,2022.0
Gross enrollment ratio - Upper secondary level (female),225.0,398.93333333333334,230.99783548769457,8.0,208.0,392.0,578.0,840.0,225.0,2012.8177777777778,6.31591275812562,2000.0,2008.0,2015.0,2016.0,2022.0
Gross enrollment ratio - Upper secondary level (male),225.0,398.93333333333334,230.99783548769457,8.0,208.0,392.0,578.0,840.0,225.0,2012.8177777777778,6.31591275812562,2000.0,2008.0,2015.0,2016.0,2022.0
Students enrolled in lower secondary education (thousands),232.0,400.62068965517244,228.30304365742754,8.0,208.0,401.0,578.0,840.0,232.0,2012.8189655172414,6.3171574761828095,2000.0,2008.0,2014.5,2017.0,2022.0
Students enrolled in primary education (thousands),231.0,397.7835497835498,230.27455425406748,8.0,208.0,392.0,578.0,840.0,231.0,2012.844155844156,6.3040323914934255,2000.0,2008.5,2014.0,2018.5,2022.0
Students enrolled in upper secondary education (thousands),230.0,397.6695652173913,227.1697025181136,8.0,208.0,392.0,578.0,840.0,230.0,2012.8652173913044,6.308939294210781,2000.0,2008.25,2015.0,2019.0,2022.0
