Year,Region/Country/Area,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands)
2000,492,152.8,138.4,133.5,132.9,179.9,144.4,2.0,2.0,1.0
2000,674,95.7,92.7,90.9,93.7,23.7,19.1,1.0,1.0,0.0
2001,156,82.3,85.1,116.9,115.0,35.4,38.3,0.0,0.0,0.0
2001,292,121.2,117.3,107.8,107.7,103.2,103.1,1.0,2.0,1.0
2003,156,87.4,88.0,,,37.3,40.9,0.0,,0.0
2003,356,62.7,73.9,104.2,108.0,33.0,44.4,0.0,0.0,0.0
2004,492,,,,,,,2.0,2.0,1.0
2004,674,99.5,91.0,,,,,1.0,1.0,
2005,8,101.0,105.4,109.6,112.9,59.2,65.6,251.0,238.0,156.0
2005,20,99.9,93.2,83.6,84.9,72.5,59.0,3.0,4.0,1.0
2005,36,,,103.2,103.6,,,,0.0,
2005,40,101.5,102.7,101.8,102.4,94.0,102.3,399.0,363.0,382.0
2005,53,115.5,115.8,102.6,103.1,202.9,214.2,0.0,0.0,0.0
2005,56,178.0,155.3,103.0,103.2,160.4,145.4,431.0,739.0,770.0
2005,70,,,,,67.3,65.0,,,165.0
2005,100,122.5,130.6,110.3,111.5,73.4,74.7,312.0,290.0,373.0
2005,112,110.8,117.3,98.1,104.0,,,706.0,380.0,
2005,124,96.7,98.9,98.2,98.9,100.1,102.8,844.0,0.0,0.0
2005,191,107.4,105.0,99.9,100.4,94.6,90.3,208.0,196.0,192.0
2005,196,95.1,94.4,99.8,99.9,95.6,91.1,32.0,61.0,32.0
2005,203,99.5,98.7,106.0,107.5,94.2,92.1,495.0,503.0,481.0
2005,208,119.1,116.6,98.2,98.2,129.9,123.9,234.0,414.0,231.0
2005,233,108.5,112.6,102.1,105.0,103.9,93.1,64.0,86.0,61.0
2005,246,100.5,100.6,99.4,100.1,127.8,117.6,199.0,382.0,232.0
2005,250,105.4,106.6,104.1,105.1,108.9,106.5,0.0,0.0,0.0
2005,268,100.1,103.4,102.1,104.1,72.4,74.7,213.0,338.0,103.0
2005,276,103.3,103.6,103.4,103.5,95.2,100.2,0.0,0.0,0.0
2005,308,106.6,109.1,98.7,99.1,95.5,82.9,8.0,14.0,5.0
2005,344,100.2,101.1,99.4,102.0,70.4,69.4,257.0,451.0,241.0
2005,348,99.8,101.4,100.2,101.7,94.2,94.3,489.0,431.0,472.0
2005,352,99.1,99.3,98.3,100.0,118.3,114.9,14.0,31.0,20.0
2005,356,69.1,79.4,,,36.2,47.9,0.0,,0.0
2005,372,103.9,100.0,102.9,103.3,130.2,113.0,175.0,454.0,142.0
2005,380,103.8,107.0,103.5,104.4,95.8,95.1,0.0,0.0,0.0
2005,410,98.4,97.5,100.5,100.2,96.6,96.2,0.0,0.0,0.0
2005,428,103.2,107.2,103.5,106.1,101.4,97.1,162.0,84.0,110.0
2005,438,96.0,97.0,106.7,104.9,104.6,136.4,2.0,2.0,2.0
2005,440,105.0,107.7,102.4,103.2,101.9,96.9,318.0,158.0,106.0
2005,442,106.4,102.2,99.8,99.9,89.1,82.0,18.0,35.0,18.0
2005,446,112.2,115.3,100.6,104.9,77.3,69.3,27.0,37.0,20.0
