Region/Country/Area,Country/Area name,Year,Variables,"Ratio of girls to boys in primary, lower secondary and upper secondary education"
1,"Total, all countries or areas",1995,Ratio of girls to boys in primary education,0.91
1,"Total, all countries or areas",2005,Ratio of girls to boys in primary education,0.95
1,"Total, all countries or areas",2010,Ratio of girls to boys in primary education,0.97
1,"Total, all countries or areas",2015,Ratio of girls to boys in primary education,1.0
1,"Total, all countries or areas",2020,Ratio of girls to boys in primary education,0.98
1,"Total, all countries or areas",2021,Ratio of girls to boys in primary education,0.98
1,"Total, all countries or areas",2022,Ratio of girls to boys in primary education,0.98
1,"Total, all countries or areas",1995,Ratio of girls to boys in lower secondary education,0.9
1,"Total, all countries or areas",2005,Ratio of girls to boys in lower secondary education,0.95
1,"Total, all countries or areas",2010,Ratio of girls to boys in lower secondary education,0.97
1,"Total, all countries or areas",2015,Ratio of girls to boys in lower secondary education,0.99
1,"Total, all countries or areas",2020,Ratio of girls to boys in lower secondary education,0.99
1,"Total, all countries or areas",2021,Ratio of girls to boys in lower secondary education,0.99
1,"Total, all countries or areas",2022,Ratio of girls to boys in lower secondary education,0.99
1,"Total, all countries or areas",1995,Ratio of girls to boys in upper secondary education,0.83
1,"Total, all countries or areas",2005,Ratio of girls to boys in upper secondary education,0.94
1,"Total, all countries or areas",2010,Ratio of girls to boys in upper secondary education,0.96
1,"Total, all countries or areas",2015,Ratio of girls to boys in upper secondary education,0.98
1,"Total, all countries or areas",2020,Ratio of girls to boys in upper secondary education,0.98
1,"Total, all countries or areas",2021,Ratio of girls to boys in upper secondary education,0.97
1,"Total, all countries or areas",2022,Ratio of girls to boys in upper secondary education,0.98
15,Northern Africa,1995,Ratio of girls to boys in primary education,0.87
15,Northern Africa,2005,Ratio of girls to boys in primary education,0.93
15,Northern Africa,2010,Ratio of girls to boys in primary education,0.95
15,Northern Africa,2015,Ratio of girls to boys in primary education,0.96
15,Northern Africa,2020,Ratio of girls to boys in primary education,0.97
15,Northern Africa,2021,Ratio of girls to boys in primary education,0.98
15,Northern Africa,2022,Ratio of girls to boys in primary education,0.98
15,Northern Africa,1995,Ratio of girls to boys in lower secondary education,0.84
15,Northern Africa,2005,Ratio of girls to boys in lower secondary education,0.94
15,Northern Africa,2010,Ratio of girls to boys in lower secondary education,0.93
15,Northern Africa,2015,Ratio of girls to boys in lower secondary education,0.95
15,Northern Africa,2020,Ratio of girls to boys in lower secondary education,0.95
15,Northern Africa,2021,Ratio of girls to boys in lower secondary education,0.95
15,Northern Africa,2022,Ratio of girls to boys in lower secondary education,0.95
15,Northern Africa,1995,Ratio of girls to boys in upper secondary education,0.93
15,Northern Africa,2005,Ratio of girls to boys in upper secondary education,1.07
15,Northern Africa,2010,Ratio of girls to boys in upper secondary education,1.07
15,Northern Africa,2015,Ratio of girls to boys in upper secondary education,1.06
15,Northern Africa,2020,Ratio of girls to boys in upper secondary education,1.07
15,Northern Africa,2021,Ratio of girls to boys in upper secondary education,1.07
15,Northern Africa,2022,Ratio of girls to boys in upper secondary education,1.07
202,Sub-Saharan Africa,1995,Ratio of girls to boys in primary education,0.84
202,Sub-Saharan Africa,2005,Ratio of girls to boys in primary education,0.88
202,Sub-Saharan Africa,2010,Ratio of girls to boys in primary education,0.92
202,Sub-Saharan Africa,2015,Ratio of girls to boys in primary education,0.95
202,Sub-Saharan Africa,2020,Ratio of girls to boys in primary education,0.96
202,Sub-Saharan Africa,2021,Ratio of girls to boys in primary education,0.97
202,Sub-Saharan Africa,2022,Ratio of girls to boys in primary education,0.97
202,Sub-Saharan Africa,2005,Ratio of girls to boys in lower secondary education,0.79
202,Sub-Saharan Africa,2010,Ratio of girls to boys in lower secondary education,0.84
202,Sub-Saharan Africa,2015,Ratio of girls to boys in lower secondary education,0.89
202,Sub-Saharan Africa,2020,Ratio of girls to boys in lower secondary education,0.92
202,Sub-Saharan Africa,2021,Ratio of girls to boys in lower secondary education,0.92
202,Sub-Saharan Africa,2022,Ratio of girls to boys in lower secondary education,0.92
202,Sub-Saharan Africa,2005,Ratio of girls to boys in upper secondary education,0.77
202,Sub-Saharan Africa,2010,Ratio of girls to boys in upper secondary education,0.78
202,Sub-Saharan Africa,2015,Ratio of girls to boys in upper secondary education,0.8
202,Sub-Saharan Africa,2020,Ratio of girls to boys in upper secondary education,0.87
202,Sub-Saharan Africa,2021,Ratio of girls to boys in upper secondary education,0.88
202,Sub-Saharan Africa,2022,Ratio of girls to boys in upper secondary education,0.88
21,Northern America,1995,Ratio of girls to boys in primary education,0.99
21,Northern America,2005,Ratio of girls to boys in primary education,0.99
21,Northern America,2010,Ratio of girls to boys in primary education,0.99
21,Northern America,2015,Ratio of girls to boys in primary education,1.0
21,Northern America,2020,Ratio of girls to boys in primary education,0.99
21,Northern America,2021,Ratio of girls to boys in primary education,0.99
21,Northern America,2022,Ratio of girls to boys in primary education,1.0
21,Northern America,1995,Ratio of girls to boys in lower secondary education,0.99
21,Northern America,2005,Ratio of girls to boys in lower secondary education,0.98
21,Northern America,2010,Ratio of girls to boys in lower secondary education,0.98
21,Northern America,2015,Ratio of girls to boys in lower secondary education,1.0
21,Northern America,2020,Ratio of girls to boys in lower secondary education,0.98
21,Northern America,2021,Ratio of girls to boys in lower secondary education,1.0
21,Northern America,2022,Ratio of girls to boys in lower secondary education,1.0
21,Northern America,1995,Ratio of girls to boys in upper secondary education,1.05
21,Northern America,2005,Ratio of girls to boys in upper secondary education,1.04
21,Northern America,2010,Ratio of girls to boys in upper secondary education,1.03
21,Northern America,2015,Ratio of girls to boys in upper secondary education,1.02
21,Northern America,2020,Ratio of girls to boys in upper secondary education,0.98
21,Northern America,2021,Ratio of girls to boys in upper secondary education,1.01
21,Northern America,2022,Ratio of girls to boys in upper secondary education,1.01
419,Latin America & the Caribbean,1995,Ratio of girls to boys in primary education,0.97
419,Latin America & the Caribbean,2005,Ratio of girls to boys in primary education,0.97
419,Latin America & the Caribbean,2010,Ratio of girls to boys in primary education,0.97
419,Latin America & the Caribbean,2015,Ratio of girls to boys in primary education,0.98
419,Latin America & the Caribbean,2020,Ratio of girls to boys in primary education,0.98
419,Latin America & the Caribbean,2021,Ratio of girls to boys in primary education,0.99
419,Latin America & the Caribbean,2022,Ratio of girls to boys in primary education,0.99
419,Latin America & the Caribbean,2005,Ratio of girls to boys in lower secondary education,1.04
419,Latin America & the Caribbean,2010,Ratio of girls to boys in lower secondary education,1.03
419,Latin America & the Caribbean,2015,Ratio of girls to boys in lower secondary education,1.02
419,Latin America & the Caribbean,2020,Ratio of girls to boys in lower secondary education,1.03
419,Latin America & the Caribbean,2021,Ratio of girls to boys in lower secondary education,1.03
419,Latin America & the Caribbean,2022,Ratio of girls to boys in lower secondary education,1.03
419,Latin America & the Caribbean,2005,Ratio of girls to boys in upper secondary education,1.12
419,Latin America & the Caribbean,2010,Ratio of girls to boys in upper secondary education,1.14
419,Latin America & the Caribbean,2015,Ratio of girls to boys in upper secondary education,1.1
419,Latin America & the Caribbean,2020,Ratio of girls to boys in upper secondary education,1.09
419,Latin America & the Caribbean,2021,Ratio of girls to boys in upper secondary education,1.11
419,Latin America & the Caribbean,2022,Ratio of girls to boys in upper secondary education,1.1
143,Central Asia,1995,Ratio of girls to boys in primary education,0.96
143,Central Asia,2005,Ratio of girls to boys in primary education,0.98
143,Central Asia,2010,Ratio of girls to boys in primary education,0.99
143,Central Asia,2015,Ratio of girls to boys in primary education,0.99
143,Central Asia,2020,Ratio of girls to boys in primary education,0.99
143,Central Asia,2021,Ratio of girls to boys in primary education,0.99
143,Central Asia,2022,Ratio of girls to boys in primary education,0.99
143,Central Asia,2005,Ratio of girls to boys in lower secondary education,0.97
143,Central Asia,2010,Ratio of girls to boys in lower secondary education,0.98
143,Central Asia,2015,Ratio of girls to boys in lower secondary education,0.99
143,Central Asia,2020,Ratio of girls to boys in lower secondary education,0.99
143,Central Asia,2021,Ratio of girls to boys in lower secondary education,0.99
143,Central Asia,2005,Ratio of girls to boys in upper secondary education,0.98
143,Central Asia,2010,Ratio of girls to boys in upper secondary education,1.0
143,Central Asia,2015,Ratio of girls to boys in upper secondary education,1.0
143,Central Asia,2020,Ratio of girls to boys in upper secondary education,0.99
143,Central Asia,2021,Ratio of girls to boys in upper secondary education,0.99
30,Eastern Asia,1995,Ratio of girls to boys in primary education,0.97
30,Eastern Asia,2005,Ratio of girls to boys in primary education,1.01
