Region/Country/Area,Country/Area name,Year,Variables,"Ratio of girls to boys in primary, lower secondary and upper secondary education"
53,Australia and New Zealand,1995,Ratio of girls to boys in primary education,1.0
53,Australia and New Zealand,2005,Ratio of girls to boys in primary education,1.0
53,Australia and New Zealand,2010,Ratio of girls to boys in primary education,1.0
53,Australia and New Zealand,2015,Ratio of girls to boys in primary education,1.0
53,Australia and New Zealand,2020,Ratio of girls to boys in primary education,1.0
53,Australia and New Zealand,2021,Ratio of girls to boys in primary education,1.0
53,Australia and New Zealand,2022,Ratio of girls to boys in primary education,1.0
53,Australia and New Zealand,1995,Ratio of girls to boys in lower secondary education,1.02
53,Australia and New Zealand,2005,Ratio of girls to boys in lower secondary education,1.0
53,Australia and New Zealand,2010,Ratio of girls to boys in lower secondary education,0.95
53,Australia and New Zealand,2015,Ratio of girls to boys in lower secondary education,0.9
53,Australia and New Zealand,2020,Ratio of girls to boys in lower secondary education,0.97
53,Australia and New Zealand,2021,Ratio of girls to boys in lower secondary education,0.98
53,Australia and New Zealand,2022,Ratio of girls to boys in lower secondary education,0.97
53,Australia and New Zealand,1995,Ratio of girls to boys in upper secondary education,0.97
53,Australia and New Zealand,2005,Ratio of girls to boys in upper secondary education,0.95
53,Australia and New Zealand,2010,Ratio of girls to boys in upper secondary education,0.92
53,Australia and New Zealand,2015,Ratio of girls to boys in upper secondary education,0.89
53,Australia and New Zealand,2020,Ratio of girls to boys in upper secondary education,1.0
53,Australia and New Zealand,2021,Ratio of girls to boys in upper secondary education,0.99
53,Australia and New Zealand,2022,Ratio of girls to boys in upper secondary education,0.99
8,Albania,1995,Ratio of girls to boys in primary education,0.97
8,Albania,2005,Ratio of girls to boys in primary education,0.97
8,Albania,2010,Ratio of girls to boys in primary education,0.99
8,Albania,2015,Ratio of girls to boys in primary education,0.97
8,Albania,2020,Ratio of girls to boys in primary education,0.95
8,Albania,2021,Ratio of girls to boys in primary education,0.94
8,Albania,2022,Ratio of girls to boys in primary education,0.94
8,Albania,2005,Ratio of girls to boys in lower secondary education,0.96
8,Albania,2010,Ratio of girls to boys in lower secondary education,0.98
8,Albania,2015,Ratio of girls to boys in lower secondary education,0.97
8,Albania,2020,Ratio of girls to boys in lower secondary education,0.94
8,Albania,2021,Ratio of girls to boys in lower secondary education,0.93
8,Albania,2022,Ratio of girls to boys in lower secondary education,0.93
8,Albania,2005,Ratio of girls to boys in upper secondary education,0.9
8,Albania,2010,Ratio of girls to boys in upper secondary education,0.88
8,Albania,2015,Ratio of girls to boys in upper secondary education,0.87
8,Albania,2020,Ratio of girls to boys in upper secondary education,0.92
8,Albania,2021,Ratio of girls to boys in upper secondary education,0.93
8,Albania,2022,Ratio of girls to boys in upper secondary education,0.9
20,Andorra,2005,Ratio of girls to boys in primary education,0.98
20,Andorra,2010,Ratio of girls to boys in primary education,0.98
20,Andorra,2015,Ratio of girls to boys in primary education,0.98
20,Andorra,2020,Ratio of girls to boys in primary education,0.98
20,Andorra,2021,Ratio of girls to boys in primary education,0.98
20,Andorra,2022,Ratio of girls to boys in primary education,1.0
20,Andorra,2005,Ratio of girls to boys in lower secondary education,1.07
20,Andorra,2010,Ratio of girls to boys in lower secondary education,1.01
20,Andorra,2015,Ratio of girls to boys in lower secondary education,0.94
20,Andorra,2020,Ratio of girls to boys in lower secondary education,0.99
20,Andorra,2021,Ratio of girls to boys in lower secondary education,1.0
20,Andorra,2022,Ratio of girls to boys in lower secondary education,0.97
20,Andorra,2005,Ratio of girls to boys in upper secondary education,1.19
20,Andorra,2010,Ratio of girls to boys in upper secondary education,1.2
20,Andorra,2015,Ratio of girls to boys in upper secondary education,1.09
20,Andorra,2020,Ratio of girls to boys in upper secondary education,1.04
20,Andorra,2021,Ratio of girls to boys in upper secondary education,1.03
20,Andorra,2022,Ratio of girls to boys in upper secondary education,1.04
36,Australia,1995,Ratio of girls to boys in primary education,1.0
36,Australia,2005,Ratio of girls to boys in primary education,1.0
36,Australia,2010,Ratio of girls to boys in primary education,0.99
36,Australia,2015,Ratio of girls to boys in primary education,1.0
36,Australia,2020,Ratio of girls to boys in primary education,1.0
36,Australia,2021,Ratio of girls to boys in primary education,1.0
36,Australia,2022,Ratio of girls to boys in primary education,1.0
36,Australia,1995,Ratio of girls to boys in lower secondary education,1.02
36,Australia,2015,Ratio of girls to boys in lower secondary education,0.89
36,Australia,2020,Ratio of girls to boys in lower secondary education,0.97
36,Australia,2021,Ratio of girls to boys in lower secondary education,0.97
36,Australia,2022,Ratio of girls to boys in lower secondary education,0.97
36,Australia,1995,Ratio of girls to boys in upper secondary education,0.97
36,Australia,2015,Ratio of girls to boys in upper secondary education,0.85
36,Australia,2020,Ratio of girls to boys in upper secondary education,0.98
36,Australia,2021,Ratio of girls to boys in upper secondary education,0.97
36,Australia,2022,Ratio of girls to boys in upper secondary education,0.95
40,Austria,1995,Ratio of girls to boys in primary education,0.99
40,Austria,2005,Ratio of girls to boys in primary education,0.99
40,Austria,2010,Ratio of girls to boys in primary education,0.99
40,Austria,2015,Ratio of girls to boys in primary education,0.99
40,Austria,2020,Ratio of girls to boys in primary education,0.99
40,Austria,2021,Ratio of girls to boys in primary education,0.99
40,Austria,2022,Ratio of girls to boys in primary education,0.99
40,Austria,1995,Ratio of girls to boys in lower secondary education,1.0
40,Austria,2005,Ratio of girls to boys in lower secondary education,0.99
40,Austria,2010,Ratio of girls to boys in lower secondary education,1.0
40,Austria,2015,Ratio of girls to boys in lower secondary education,1.0
40,Austria,2020,Ratio of girls to boys in lower secondary education,0.99
40,Austria,2021,Ratio of girls to boys in lower secondary education,0.99
40,Austria,2022,Ratio of girls to boys in lower secondary education,0.99
40,Austria,1995,Ratio of girls to boys in upper secondary education,0.89
40,Austria,2005,Ratio of girls to boys in upper secondary education,0.92
40,Austria,2010,Ratio of girls to boys in upper secondary education,0.93
40,Austria,2015,Ratio of girls to boys in upper secondary education,0.94
40,Austria,2020,Ratio of girls to boys in upper secondary education,0.96
40,Austria,2021,Ratio of girls to boys in upper secondary education,0.96
40,Austria,2022,Ratio of girls to boys in upper secondary education,0.97
112,Belarus,1995,Ratio of girls to boys in primary education,0.94
112,Belarus,2005,Ratio of girls to boys in primary education,0.94
112,Belarus,2010,Ratio of girls to boys in primary education,0.98
112,Belarus,2015,Ratio of girls to boys in primary education,0.98
112,Belarus,2020,Ratio of girls to boys in primary education,0.98
112,Belarus,2021,Ratio of girls to boys in primary education,0.99
112,Belarus,2022,Ratio of girls to boys in primary education,0.96
112,Belarus,1995,Ratio of girls to boys in lower secondary education,0.95
112,Belarus,2005,Ratio of girls to boys in lower secondary education,0.94
112,Belarus,2010,Ratio of girls to boys in lower secondary education,0.98
112,Belarus,2015,Ratio of girls to boys in lower secondary education,0.98
112,Belarus,2020,Ratio of girls to boys in lower secondary education,0.98
112,Belarus,2021,Ratio of girls to boys in lower secondary education,0.99
112,Belarus,2022,Ratio of girls to boys in lower secondary education,0.97
112,Belarus,2010,Ratio of girls to boys in upper secondary education,0.92
112,Belarus,2015,Ratio of girls to boys in upper secondary education,0.95
112,Belarus,2020,Ratio of girls to boys in upper secondary education,0.93
112,Belarus,2021,Ratio of girls to boys in upper secondary education,0.93
112,Belarus,2022,Ratio of girls to boys in upper secondary education,0.94
56,Belgium,1995,Ratio of girls to boys in primary education,0.99
56,Belgium,2005,Ratio of girls to boys in primary education,1.0
56,Belgium,2010,Ratio of girls to boys in primary education,1.0
