Year,Region/Country/Area,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands)
2005,1,76.6,80.7,99.8,104.5,48.3,51.2,0.0,0.0,0.0
2005,9,102.7,104.4,89.5,91.1,113.0,117.9,0.0,0.0,0.0
2005,15,81.8,86.8,89.3,95.7,55.0,51.1,0.0,0.0,0.0
2005,21,99.8,101.4,101.0,102.1,92.7,88.6,0.0,0.0,0.0
2005,30,98.8,98.4,108.5,107.0,51.0,51.0,0.0,0.0,0.0
2005,34,61.8,70.2,97.1,102.9,32.9,41.2,0.0,0.0,0.0
2005,35,80.1,78.8,107.7,109.3,43.1,43.0,0.0,0.0,0.0
2005,143,93.5,96.4,98.1,100.4,74.6,79.7,0.0,0.0,0.0
2005,145,76.8,88.5,93.2,102.2,56.5,66.9,0.0,0.0,0.0
2005,150,97.4,98.6,102.6,103.4,99.5,98.8,0.0,0.0,0.0
2005,199,36.9,45.0,87.9,98.7,16.9,23.0,0.0,0.0,0.0
2005,202,33.1,42.0,87.3,99.1,20.7,26.8,0.0,0.0,0.0
2005,419,102.3,98.0,114.5,118.2,73.9,65.1,0.0,0.0,0.0
2005,432,45.6,54.5,88.3,101.1,26.8,31.9,0.0,0.0,0.0
2005,722,87.6,87.8,97.7,101.9,36.9,33.0,0.0,0.0,0.0
2010,1,81.4,83.8,100.9,103.7,57.7,60.2,0.0,0.0,0.0
2010,9,103.2,109.2,96.1,98.1,109.0,117.3,0.0,0.0,0.0
2010,15,88.7,95.0,92.7,98.0,51.1,47.4,0.0,0.0,0.0
2010,21,99.3,100.8,99.8,100.7,94.5,91.8,0.0,0.0,0.0
2010,30,106.7,103.8,104.9,104.6,80.9,80.8,0.0,0.0,0.0
2010,34,70.9,74.4,101.3,103.0,42.9,48.5,0.0,0.0,0.0
2010,35,87.3,84.2,110.2,109.2,53.5,53.6,0.0,0.0,0.0
2010,143,94.6,97.1,97.2,98.5,81.3,83.2,0.0,0.0,0.0
2010,145,81.4,88.8,96.0,102.3,59.8,65.0,0.0,0.0,0.0
2010,150,102.3,103.3,100.9,101.4,102.2,103.4,0.0,0.0,0.0
2010,199,45.6,51.9,97.3,104.4,22.5,29.7,0.0,0.0,0.0
2010,202,42.1,50.2,93.6,101.3,26.5,34.1,0.0,0.0,0.0
2010,419,105.4,102.2,107.1,110.7,77.8,67.1,0.0,0.0,0.0
2010,432,51.5,59.2,98.7,106.9,31.4,37.5,0.0,0.0,0.0
2010,722,89.4,90.6,100.9,106.0,38.5,35.2,0.0,0.0,0.0
2015,1,83.3,83.8,101.1,101.5,65.6,67.1,0.0,0.0,0.0
2015,9,101.4,111.9,100.9,103.1,106.0,117.8,0.0,0.0,0.0
2015,15,91.6,96.5,93.4,97.3,62.0,58.5,0.0,0.0,0.0
2015,21,100.7,100.5,100.2,100.3,98.1,96.3,0.0,0.0,0.0
2015,30,94.2,92.3,98.1,97.0,90.5,85.0,0.0,0.0,0.0
2015,34,80.5,78.4,107.0,102.0,54.5,58.1,0.0,0.0,0.0
2015,35,96.1,93.3,107.6,110.0,67.8,69.6,0.0,0.0,0.0
2015,143,94.0,95.1,98.3,99.2,88.1,90.0,0.0,0.0,0.0
2015,145,81.7,85.3,93.0,98.5,74.5,77.6,0.0,0.0,0.0
2015,150,101.1,102.3,100.1,100.4,112.6,112.8,0.0,0.0,0.0
2015,199,52.7,56.3,98.6,103.5,28.5,34.6,0.0,0.0,0.0
2015,202,47.9,53.6,95.3,100.1,30.3,37.6,0.0,0.0,0.0
2015,419,110.1,108.1,105.5,107.9,82.4,74.1,0.0,0.0,0.0
2015,432,53.5,58.5,97.0,104.8,33.7,39.3,0.0,0.0,0.0
2015,722,89.2,89.8,105.1,109.8,40.8,38.3,0.0,0.0,0.0
2020,432,53.0,58.3,99.0,106.6,35.3,39.4,0.0,0.0,0.0
2021,35,100.6,98.2,104.6,106.2,69.9,66.6,0.0,0.0,0.0
2021,143,89.8,90.9,99.1,99.7,87.2,88.3,0.0,0.0,0.0
2021,199,53.9,57.3,101.7,106.4,33.7,37.6,0.0,0.0,0.0
2022,1,84.0,84.7,100.5,102.3,69.2,70.2,0.0,0.0,0.0
2022,9,88.0,92.2,102.3,104.2,115.5,117.0,0.0,0.0,0.0
2022,15,92.9,97.5,93.5,95.6,69.6,64.6,0.0,0.0,0.0
2022,21,103.3,103.0,98.0,98.3,101.2,100.0,0.0,0.0,0.0
2022,30,97.9,96.5,100.9,99.5,92.1,89.3,0.0,0.0,0.0
2022,34,83.1,81.9,103.9,106.1,62.9,65.9,0.0,0.0,0.0
2022,143,,,97.6,98.2,,,,0.0,
2022,145,78.4,82.1,90.7,96.4,77.4,82.2,0.0,0.0,0.0
2022,150,100.7,101.3,101.2,101.3,110.1,109.8,0.0,0.0,0.0
2022,199,,,101.7,106.3,,,,0.0,
2022,202,49.4,53.8,97.9,101.3,33.6,38.3,0.0,0.0,0.0
2022,419,108.6,105.6,103.2,104.2,89.5,80.8,0.0,0.0,0.0
2022,432,,,96.2,103.1,,,,0.0,
2022,722,82.8,84.8,104.1,107.3,35.5,32.7,0.0,0.0,0.0
