Year,Region/Country/Area,Ratio of girls to boys in lower secondary education,Ratio of girls to boys in primary education,Ratio of girls to boys in upper secondary education
1995,1,0.9,0.91,0.83
1995,9,1.02,0.99,1.0
1995,15,0.84,0.87,0.93
1995,21,0.99,0.99,1.05
1995,30,0.89,0.97,0.88
1995,34,0.77,0.8,0.49
1995,35,0.93,0.98,0.94
1995,62,0.78,0.81,0.51
1995,143,,0.96,
1995,145,0.8,0.88,0.7
1995,150,1.0,0.99,1.03
1995,199,,0.81,
1995,202,,0.84,
1995,419,,0.97,
1995,432,,0.82,
1995,722,,0.96,
2005,1,0.95,0.95,0.94
2005,9,0.98,0.98,0.96
2005,15,0.94,0.93,1.07
2005,21,0.98,0.99,1.04
2005,30,1.0,1.01,1.0
2005,34,0.88,0.94,0.8
2005,35,1.02,0.98,1.0
2005,62,0.89,0.94,0.81
2005,143,0.97,0.98,0.98
2005,145,0.87,0.91,0.84
2005,150,0.99,0.99,1.01
2005,199,0.82,0.89,0.73
2005,202,0.79,0.88,0.77
2005,419,1.04,0.97,1.12
2005,432,0.84,0.87,0.84
2005,722,1.0,0.96,1.11
2010,1,0.97,0.97,0.96
2010,9,0.95,0.98,0.93
2010,15,0.93,0.95,1.07
2010,21,0.98,0.99,1.03
2010,30,1.03,1.0,1.0
2010,34,0.95,0.98,0.89
2010,35,1.04,1.01,1.0
2010,62,0.95,0.98,0.89
2010,143,0.98,0.99,1.0
2010,145,0.92,0.94,0.92
2010,150,0.99,1.0,0.99
2010,199,0.88,0.93,0.76
2010,202,0.84,0.92,0.78
2010,419,1.03,0.97,1.14
2010,432,0.87,0.92,0.84
2010,722,0.98,0.95,1.09
2015,1,0.99,1.0,0.98
2015,9,0.91,0.98,0.9
2015,15,0.95,0.96,1.06
2015,21,1.0,1.0,1.02
2015,30,1.02,1.01,1.06
2015,34,1.03,1.05,0.94
2015,35,1.03,0.98,0.97
2015,62,1.02,1.05,0.94
2015,143,0.99,0.99,1.0
2015,145,0.96,0.94,0.96
2015,150,0.99,1.0,1.0
2015,199,0.94,0.95,0.83
2015,202,0.89,0.95,0.8
2015,419,1.02,0.98,1.1
2015,432,0.92,0.93,0.86
2015,722,0.98,0.96,1.06
2020,1,0.99,0.98,0.98
2020,9,0.95,0.98,1.0
2020,15,0.95,0.97,1.07
2020,21,0.98,0.99,0.98
2020,30,1.01,1.01,1.04
2020,34,1.02,0.99,0.94
2020,35,1.02,0.99,1.04
2020,62,1.02,0.99,0.94
2020,143,0.99,0.99,0.99
2020,145,0.96,0.94,0.92
2020,150,0.99,0.99,1.0
2020,199,0.94,0.95,0.9
2020,202,0.92,0.96,0.87
2020,419,1.03,0.98,1.09
2020,432,0.91,0.93,0.9
2020,722,0.97,0.97,1.08
2021,1,0.99,0.98,0.97
2021,9,0.96,0.98,0.99
2021,15,0.95,0.98,1.07
2021,21,1.0,0.99,1.01
2021,30,1.01,1.02,1.03
2021,34,1.02,0.98,0.91
2021,35,1.02,0.98,1.05
2021,62,1.01,0.98,0.91
2021,143,0.99,0.99,0.99
2021,145,0.95,0.94,0.94
2021,150,0.99,1.0,1.0
2021,199,0.94,0.96,0.9
2021,202,0.92,0.97,0.88
2021,419,1.03,0.99,1.11
2021,432,,0.93,
2021,722,0.98,0.97,1.06
2022,1,0.99,0.98,0.98
2022,9,0.95,0.98,0.99
2022,15,0.95,0.98,1.07
2022,21,1.0,1.0,1.01
2022,30,1.01,1.01,1.03
2022,34,1.01,0.98,0.95
2022,62,1.01,0.98,0.95
2022,143,,0.99,
2022,145,0.95,0.94,0.94
2022,150,0.99,1.0,1.0
2022,199,,0.96,
2022,202,0.92,0.97,0.88
2022,419,1.03,0.99,1.1
2022,432,,0.93,
2022,722,0.97,0.97,1.08
