Year,Region/Country/Area,Teachers at lower secondary level,Teachers at primary level,Teachers at upper secondary level,Teachers with minimum required qualifications at lower secondary level,Teachers with minimum required qualifications at primary level,Teachers with minimum required qualifications at upper secondary level
2004,145,0.0,0.0,0.0,,93.3,
2005,1,0.0,0.0,0.0,,,
2005,9,,0.0,,,,
2005,15,0.0,0.0,0.0,,97.4,
2005,21,0.0,0.0,0.0,,,
2005,30,0.0,0.0,0.0,,,
2005,34,0.0,0.0,0.0,,,
2005,35,0.0,0.0,0.0,,,
2005,62,0.0,0.0,0.0,,,
2005,143,,0.0,,,94.2,
2005,145,0.0,0.0,0.0,,,
2005,150,0.0,0.0,0.0,,,
2005,199,0.0,0.0,0.0,67.2,78.5,
2005,202,0.0,0.0,0.0,,75.6,
2005,419,0.0,0.0,0.0,,,
2005,432,0.0,0.0,0.0,,85.4,
2005,722,0.0,0.0,0.0,81.8,85.4,94.3
2007,15,0.0,0.0,0.0,,97.1,
2007,419,0.0,0.0,0.0,80.6,81.5,90.3
2009,419,0.0,0.0,0.0,78.2,80.8,
2010,1,0.0,0.0,0.0,,,
2010,9,,0.0,,,,
2010,15,0.0,0.0,0.0,,,
2010,21,0.0,0.0,0.0,,,
2010,30,0.0,0.0,0.0,,,
2010,34,0.0,0.0,0.0,,,
2010,35,0.0,0.0,0.0,,,
2010,62,0.0,0.0,0.0,,,
2010,143,,0.0,,,96.9,
2010,145,0.0,0.0,0.0,,89.1,
2010,150,0.0,0.0,0.0,,97.4,
2010,199,0.0,0.0,0.0,67.3,78.1,51.5
2010,202,0.0,0.0,0.0,65.4,75.3,55.8
2010,419,0.0,0.0,0.0,,80.7,
2010,432,0.0,0.0,0.0,,85.0,
2010,722,0.0,0.0,0.0,76.8,84.5,92.4
2012,419,0.0,0.0,0.0,77.8,80.9,83.7
2014,722,0.0,0.0,,,86.6,
2015,1,0.0,0.0,0.0,86.0,85.9,
2015,9,,0.0,,,,
2015,15,0.0,0.0,0.0,83.8,88.3,78.8
2015,21,0.0,0.0,0.0,99.3,99.1,98.4
2015,30,0.0,0.0,0.0,,,
2015,34,0.0,0.0,0.0,82.6,71.2,
2015,35,0.0,0.0,0.0,97.9,97.8,96.3
2015,62,0.0,0.0,0.0,84.4,72.4,
2015,143,0.0,0.0,0.0,,99.5,
2015,145,0.0,0.0,0.0,86.1,85.0,
2015,150,0.0,0.0,0.0,,93.7,
2015,199,0.0,0.0,0.0,62.4,75.4,59.6
2015,202,0.0,0.0,0.0,56.6,71.9,55.4
2015,419,0.0,0.0,0.0,,78.8,
2015,432,0.0,0.0,0.0,,81.9,
2015,722,,0.0,0.0,10.2,87.9,74.9
2017,9,,0.0,,,,
2018,143,0.0,0.0,0.0,93.6,98.2,99.2
2018,432,0.0,0.0,0.0,80.6,76.9,84.8
2019,150,0.0,0.0,0.0,,93.9,
2019,199,0.0,0.0,0.0,62.8,73.7,62.4
2019,202,0.0,0.0,0.0,56.7,69.9,63.9
2020,199,0.0,0.0,0.0,64.1,72.7,
2020,722,0.0,0.0,0.0,88.5,89.5,86.5
2021,1,0.0,0.0,0.0,84.3,86.6,86.8
2021,35,0.0,0.0,0.0,93.8,93.8,97.5
2021,145,0.0,0.0,0.0,84.6,81.1,84.8
2021,199,0.0,0.0,0.0,,73.5,
2021,202,0.0,0.0,0.0,,69.0,
2021,432,0.0,0.0,0.0,,74.2,
2022,1,0.0,0.0,0.0,,85.7,
2022,15,0.0,0.0,0.0,94.6,96.2,95.2
2022,21,0.0,0.0,0.0,94.1,95.4,91.8
2022,30,0.0,0.0,0.0,,,
2022,34,0.0,0.0,0.0,84.0,84.8,93.5
2022,62,0.0,0.0,0.0,84.3,85.3,93.9
2022,143,,0.0,,,94.9,
2022,145,0.0,0.0,0.0,83.7,78.0,
2022,150,0.0,0.0,0.0,,,
2022,199,,0.0,,,,
2022,202,0.0,0.0,0.0,,,
2022,419,0.0,0.0,0.0,78.8,80.2,73.3
2022,432,,0.0,,,,
2022,722,,0.0,,,89.3,
