Country/Area Code,Country/Area Name
1,"Total, all countries or areas"
4,Afghanistan
8,Albania
9,Oceania
12,Algeria
15,Northern Africa
16,American Samoa
20,Andorra
21,Northern America
24,Angola
28,Antigua and Barbuda
30,Eastern Asia
31,Azerbaijan
32,Argentina
34,Southern Asia
35,South-eastern Asia
36,Australia
40,Austria
48,Bahrain
50,Bangladesh
51,Armenia
52,Barbados
53,Australia and New Zealand
56,Belgium
60,Bermuda
64,Bhutan
68,Bolivia (Plurin. State of)
70,Bosnia and Herzegovina
72,Botswana
76,Brazil
84,Belize
90,Solomon Islands
92,British Virgin Islands
96,Brunei Darussalam
100,Bulgaria
104,Myanmar
108,Burundi
112,Belarus
116,Cambodia
120,Cameroon
124,Canada
132,Cabo Verde
136,Cayman Islands
140,Central African Republic
143,Central Asia
144,Sri Lanka
145,Western Asia
148,Chad
150,Europe
152,Chile
156,China
170,Colombia
174,Comoros
178,Congo
180,Dem. Rep. of the Congo
184,Cook Islands
188,Costa Rica
191,Croatia
192,Cuba
196,Cyprus
202,Sub-Saharan Africa
203,Czechia
204,Benin
208,Denmark
212,Dominica
214,Dominican Republic
218,Ecuador
222,El Salvador
231,Ethiopia
232,Eritrea
233,Estonia
242,Fiji
246,Finland
250,France
262,Djibouti
266,Gabon
268,Georgia
270,Gambia
275,State of Palestine
276,Germany
288,Ghana
292,Gibraltar
296,Kiribati
300,Greece
308,Grenada
320,Guatemala
324,Guinea
328,Guyana
340,Honduras
344,"China, Hong Kong SAR"
348,Hungary
352,Iceland
356,India
360,Indonesia
364,Iran (Islamic Republic of)
372,Ireland
376,Israel
380,Italy
384,Côte d’Ivoire
388,Jamaica
392,Japan
398,Kazakhstan
400,Jordan
404,Kenya
410,Republic of Korea
414,Kuwait
417,Kyrgyzstan
418,Lao People's Dem. Rep.
419,Latin America & the Caribbean
422,Lebanon
426,Lesotho
428,Latvia
430,Liberia
438,Liechtenstein
440,Lithuania
442,Luxembourg
446,"China, Macao SAR"
450,Madagascar
454,Malawi
458,Malaysia
462,Maldives
466,Mali
470,Malta
478,Mauritania
480,Mauritius
484,Mexico
492,Monaco
496,Mongolia
498,Republic of Moldova
499,Montenegro
500,Montserrat
504,Morocco
508,Mozambique
512,Oman
516,Namibia
520,Nauru
524,Nepal
528,Netherlands (Kingdom of the)
531,Curaçao
533,Aruba
534,Sint Maarten (Dutch part)
548,Vanuatu
554,New Zealand
558,Nicaragua
562,Niger
570,Niue
578,Norway
583,Micronesia (Fed. States of)
584,Marshall Islands
585,Palau
586,Pakistan
591,Panama
600,Paraguay
604,Peru
608,Philippines
616,Poland
620,Portugal
624,Guinea-Bissau
626,Timor-Leste
630,Puerto Rico
634,Qatar
642,Romania
643,Russian Federation
646,Rwanda
659,Saint Kitts and Nevis
660,Anguilla
662,Saint Lucia
670,Saint Vincent & Grenadines
674,San Marino
678,Sao Tome and Principe
682,Saudi Arabia
686,Senegal
688,Serbia
690,Seychelles
694,Sierra Leone
702,Singapore
703,Slovakia
704,Viet Nam
705,Slovenia
710,South Africa
716,Zimbabwe
724,Spain
728,South Sudan
729,Sudan
748,Eswatini
752,Sweden
756,Switzerland
760,Syrian Arab Republic
762,Tajikistan
764,Thailand
768,Togo
772,Tokelau
776,Tonga
780,Trinidad and Tobago
784,United Arab Emirates
788,Tunisia
792,Türkiye
795,Turkmenistan
796,Turks and Caicos Islands
798,Tuvalu
800,Uganda
804,Ukraine
807,North Macedonia
818,Egypt
826,United Kingdom
834,United Rep. of Tanzania
840,United States of America
854,Burkina Faso
858,Uruguay
860,Uzbekistan
862,Venezuela (Boliv. Rep. of)
882,Samoa
887,Yemen
894,Zambia
