"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","1988","Not applicable","Not applicable","Percent","0"
"Afghanistan","1986","Not applicable","Not applicable","Percent","0"
"Afghanistan","1985","Not applicable","Not applicable","Percent","0"
"Afghanistan","1984","Not applicable","Not applicable","Percent","0"
"Afghanistan","1982","Not applicable","Not applicable","Percent","0"
"Afghanistan","1981","Not applicable","Not applicable","Percent","0"
"Afghanistan","1980","Not applicable","Not applicable","Percent","0"
"Afghanistan","1979","Not applicable","Not applicable","Percent","0"
"Afghanistan","1978","Not applicable","Not applicable","Percent","0"
"Afghanistan","1977","Not applicable","Not applicable","Percent","0"
"Afghanistan","1976","Not applicable","Not applicable","Percent","0"
"Albania","2014","Not applicable","Not applicable","Percent","6.17818"
"Albania","2013","Not applicable","Not applicable","Percent","6.26641"
"Albania","2012","Not applicable","Not applicable","Percent","7.11659"
"Albania","2011","Not applicable","Not applicable","Percent","4.59752"
"Albania","2010","Not applicable","Not applicable","Percent","4.86024"
"Albania","2009","Not applicable","Not applicable","Percent","4.59142"
"Albania","2008","Not applicable","Not applicable","Percent","4.82184"
"Albania","2007","Not applicable","Not applicable","Percent","5.17412"
"Albania","2006","Not applicable","Not applicable","Percent","4.89405"
"Albania","2005","Not applicable","Not applicable","Percent","5.46563"
"Albania","2004","Not applicable","Not applicable","Percent","5.19485"
"Albania","2003","Not applicable","Not applicable","Percent","6.29883"
"Albania","2002","Not applicable","Not applicable","Percent","4.14155"
"Albania","2001","Not applicable","Not applicable","Percent","2.2445"
"Albania","2000","Not applicable","Not applicable","Percent","3.06829"
"Albania","1998","Not applicable","Not applicable","Percent","0.48878"
"Albania","1997","Not applicable","Not applicable","Percent","0"
"Albania","1996","Not applicable","Not applicable","Percent","0"
"Albania","1995","Not applicable","Not applicable","Percent","0"
"Albania","1994","Not applicable","Not applicable","Percent","0"
"Albania","1993","Not applicable","Not applicable","Percent","0"
"Albania","1992","Not applicable","Not applicable","Percent","0"
"Albania","1991","Not applicable","Not applicable","Percent","0"
"Albania","1990","Not applicable","Not applicable","Percent","0"
"Albania","1989","Not applicable","Not applicable","Percent","0"
"Albania","1988","Not applicable","Not applicable","Percent","0"
"Albania","1987","Not applicable","Not applicable","Percent","0"
"Albania","1986","Not applicable","Not applicable","Percent","0"
"Albania","1985","Not applicable","Not applicable","Percent","0"
"Albania","1984","Not applicable","Not applicable","Percent","0"
"Albania","1983","Not applicable","Not applicable","Percent","0"
"Albania","1982","Not applicable","Not applicable","Percent","0"
"Albania","1981","Not applicable","Not applicable","Percent","0"
"Albania","1980","Not applicable","Not applicable","Percent","0"
"Algeria","2011","Not applicable","Not applicable","Percent","13.51842"
"Algeria","2010","Not applicable","Not applicable","Percent","14.41844"
"Algeria","2009","Not applicable","Not applicable","Percent","10.8278"
"Algeria","2008","Not applicable","Not applicable","Percent","34.89394"
"Algeria","2007","Not applicable","Not applicable","Percent","34.89383"
"Algeria","2006","Not applicable","Not applicable","Percent","44.85786"
"Algeria","2005","Not applicable","Not applicable","Percent","0"
"Algeria","2004","Not applicable","Not applicable","Percent","0"
"Algeria","2003","Not applicable","Not applicable","Percent","0"
"Algeria","2001","Not applicable","Not applicable","Percent","0"
"Algeria","2000","Not applicable","Not applicable","Percent","0"
"Algeria","1999","Not applicable","Not applicable","Percent","0"
"Algeria","1998","Not applicable","Not applicable","Percent","0"
"Algeria","1995","Not applicable","Not applicable","Percent","0"
"Algeria","1994","Not applicable","Not applicable","Percent","0"
"Algeria","1993","Not applicable","Not applicable","Percent","0"
"Andorra","2014","Not applicable","Not applicable","Percent","1.79372"
"Andorra","2013","Not applicable","Not applicable","Percent","1.69212"
"Andorra","2012","Not applicable","Not applicable","Percent","1.56057"
"Andorra","2011","Not applicable","Not applicable","Percent","1.51261"
"Andorra","2010","Not applicable","Not applicable","Percent","1.65906"
"Andorra","2009","Not applicable","Not applicable","Percent","1.74419"
"Andorra","2008","Not applicable","Not applicable","Percent","1.87475"
"Andorra","2007","Not applicable","Not applicable","Percent","1.99375"
"Andorra","2006","Not applicable","Not applicable","Percent","2.21882"
"Andorra","2005","Not applicable","Not applicable","Percent","1.99623"
"Andorra","2004","Not applicable","Not applicable","Percent","1.75976"
"Andorra","2003","Not applicable","Not applicable","Percent","1.89394"
"Andorra","2002","Not applicable","Not applicable","Percent","1.43443"
"Andorra","1983","Not applicable","Not applicable","Percent","16.51948"
"Angola","2011","Not applicable","Not applicable","Percent","1.38068"
"Angola","2010","Not applicable","Not applicable","Percent","0.79942"
"Angola","2009","Not applicable","Not applicable","Percent","0.74573"
"Angola","2008","Not applicable","Not applicable","Percent","0.70329"
"Angola","1998","Not applicable","Not applicable","Percent","23.0769"
"Angola","1992","Not applicable","Not applicable","Percent","0"
"Angola","1991","Not applicable","Not applicable","Percent","0"
"Angola","1990","Not applicable","Not applicable","Percent","0"
"Angola","1989","Not applicable","Not applicable","Percent","0"
"Angola","1988","Not applicable","Not applicable","Percent","0"
"Angola","1987","Not applicable","Not applicable","Percent","0"
"Angola","1986","Not applicable","Not applicable","Percent","0"
"Angola","1985","Not applicable","Not applicable","Percent","0"
"Angola","1984","Not applicable","Not applicable","Percent","0"
"Angola","1983","Not applicable","Not applicable","Percent","0"
"Angola","1982","Not applicable","Not applicable","Percent","0"
"Angola","1981","Not applicable","Not applicable","Percent","0"
"Anguilla","2011","Not applicable","Not applicable","Percent","100"
"Anguilla","2010","Not applicable","Not applicable","Percent","100"
"Anguilla","2009","Not applicable","Not applicable","Percent","100"
"Anguilla","2008","Not applicable","Not applicable","Percent","100"
