"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"American Samoa","2006","Not applicable","Not applicable","Percent","11.7339"
"Andorra","2014","Not applicable","Not applicable","Percent","6.10778"
"Andorra","2013","Not applicable","Not applicable","Percent","4.56672"
"Andorra","2011","Not applicable","Not applicable","Percent","3.67447"
"Andorra","2010","Not applicable","Not applicable","Percent","3.71336"
"Andorra","2009","Not applicable","Not applicable","Percent","3.43237"
"Andorra","2006","Not applicable","Not applicable","Percent","6.84453"
"Andorra","2005","Not applicable","Not applicable","Percent","3.6697"
"Andorra","2004","Not applicable","Not applicable","Percent","5.105"
"Angola","2006","Not applicable","Not applicable","Percent","8.21583"
"Anguilla","2005","Not applicable","Not applicable","Percent","17.64893"
"Anguilla","1998","Not applicable","Not applicable","Percent","31.92635"
"Antigua and Barbuda","2009","Not applicable","Not applicable","Percent","0.17118"
"Antigua and Barbuda","2002","Not applicable","Not applicable","Percent","6.9537"
"Argentina","2010","Not applicable","Not applicable","Percent","20.47356"
"Argentina","2009","Not applicable","Not applicable","Percent","19.40606"
"Argentina","2008","Not applicable","Not applicable","Percent","18.17423"
"Argentina","2007","Not applicable","Not applicable","Percent","18.20068"
"Argentina","2006","Not applicable","Not applicable","Percent","18.08672"
"Argentina","2004","Not applicable","Not applicable","Percent","17.30636"
"Argentina","2003","Not applicable","Not applicable","Percent","16.26153"
"Argentina","2002","Not applicable","Not applicable","Percent","17.58045"
"Argentina","2001","Not applicable","Not applicable","Percent","17.30456"
"Argentina","1999","Not applicable","Not applicable","Percent","17.84886"
"Argentina","1998","Not applicable","Not applicable","Percent","20.68737"
"Armenia","2014","Not applicable","Not applicable","Percent","14.70623"
"Armenia","2013","Not applicable","Not applicable","Percent","10.8265"
"Armenia","2012","Not applicable","Not applicable","Percent","9.37503"
"Aruba","2005","Not applicable","Not applicable","Percent","13.59537"
"Aruba","2002","Not applicable","Not applicable","Percent","13.52284"
"Aruba","2001","Not applicable","Not applicable","Percent","13.69026"
"Aruba","2000","Not applicable","Not applicable","Percent","13.26376"
"Aruba","1999","Not applicable","Not applicable","Percent","12.80659"
"Aruba","1998","Not applicable","Not applicable","Percent","13.53232"
"Australia","2013","Not applicable","Not applicable","Percent","26.78196"
"Australia","2012","Not applicable","Not applicable","Percent","23.5966"
"Australia","2011","Not applicable","Not applicable","Percent","24.8219"
"Australia","2010","Not applicable","Not applicable","Percent","24.79725"
"Australia","2009","Not applicable","Not applicable","Percent","23.96593"
"Australia","2008","Not applicable","Not applicable","Percent","23.32453"
"Australia","2007","Not applicable","Not applicable","Percent","23.30203"
"Australia","2006","Not applicable","Not applicable","Percent","22.36652"
"Australia","2005","Not applicable","Not applicable","Percent","22.85008"
"Australia","2000","Not applicable","Not applicable","Percent","24.06792"
"Austria","2013","Not applicable","Not applicable","Percent","31.48212"
"Austria","2012","Not applicable","Not applicable","Percent","32.68107"
"Austria","2011","Not applicable","Not applicable","Percent","26.12508"
"Austria","2010","Not applicable","Not applicable","Percent","26.90855"
"Austria","2009","Not applicable","Not applicable","Percent","25.74187"
"Austria","2008","Not applicable","Not applicable","Percent","26.76418"
"Austria","2007","Not applicable","Not applicable","Percent","26.84555"
"Austria","2006","Not applicable","Not applicable","Percent","26.66257"
"Austria","2005","Not applicable","Not applicable","Percent","26.45198"
"Austria","2004","Not applicable","Not applicable","Percent","25.85694"
"Austria","2003","Not applicable","Not applicable","Percent","23.41154"
"Austria","2002","Not applicable","Not applicable","Percent","22.47703"
"Austria","2001","Not applicable","Not applicable","Percent","23.71022"
"Austria","1999","Not applicable","Not applicable","Percent","26.67293"
"Austria","1998","Not applicable","Not applicable","Percent","26.1869"
"Azerbaijan","2011","Not applicable","Not applicable","Percent","14.95145"
"Azerbaijan","2010","Not applicable","Not applicable","Percent","14.19375"
"Azerbaijan","2009","Not applicable","Not applicable","Percent","14.07295"
"Azerbaijan","2008","Not applicable","Not applicable","Percent","11.43748"
"Azerbaijan","2007","Not applicable","Not applicable","Percent","8.25286"
"Azerbaijan","2006","Not applicable","Not applicable","Percent","7.18761"
"Azerbaijan","2005","Not applicable","Not applicable","Percent","7.01648"
"Azerbaijan","2004","Not applicable","Not applicable","Percent","6.47817"
"Azerbaijan","2003","Not applicable","Not applicable","Percent","5.66048"
"Azerbaijan","2002","Not applicable","Not applicable","Percent","5.91438"
"Azerbaijan","2001","Not applicable","Not applicable","Percent","6.01438"
"Azerbaijan","2000","Not applicable","Not applicable","Percent","6.00571"
"Bangladesh","2009","Not applicable","Not applicable","Percent","13.36023"
"Bangladesh","2008","Not applicable","Not applicable","Percent","13.94181"
"Bangladesh","2007","Not applicable","Not applicable","Percent","12.194"
"Bangladesh","2006","Not applicable","Not applicable","Percent","14.33145"
"Bangladesh","2004","Not applicable","Not applicable","Percent","11.45504"
"Bangladesh","2003","Not applicable","Not applicable","Percent","10.31183"
"Bangladesh","2002","Not applicable","Not applicable","Percent","13.83271"
"Bangladesh","2001","Not applicable","Not applicable","Percent","13.00422"
"Bangladesh","2000","Not applicable","Not applicable","Percent","12.68462"
"Bangladesh","1999","Not applicable","Not applicable","Percent","11.71075"
"Barbados","2012","Not applicable","Not applicable","Percent","30.68836"
"Barbados","2010","Not applicable","Not applicable","Percent","34.43212"
"Barbados","2009","Not applicable","Not applicable","Percent","30.14262"
"Barbados","2008","Not applicable","Not applicable","Percent","31.59246"
"Barbados","2007","Not applicable","Not applicable","Percent","29.1617"
"Barbados","2005","Not applicable","Not applicable","Percent","32.60865"
"Barbados","2004","Not applicable","Not applicable","Percent","34.42512"
"Barbados","2003","Not applicable","Not applicable","Percent","31.78203"
"Barbados","2002","Not applicable","Not applicable","Percent","33.11943"
"Barbados","2001","Not applicable","Not applicable","Percent","33.69411"
"Barbados","2000","Not applicable","Not applicable","Percent","29.92927"
"Barbados","1999","Not applicable","Not applicable","Percent","35.05665"
"Belarus","2014","Not applicable","Not applicable","Percent","16.87449"
"Belarus","2013","Not applicable","Not applicable","Percent","16.99993"
"Belarus","2012","Not applicable","Not applicable","Percent","17.41344"
"Belarus","2011","Not applicable","Not applicable","Percent","17.23479"
"Belarus","2010","Not applicable","Not applicable","Percent","17.54534"
"Belarus","2009","Not applicable","Not applicable","Percent","20.13546"
"Belarus","2007","Not applicable","Not applicable","Percent","19.67021"
"Belarus","2006","Not applicable","Not applicable","Percent","25.369"
"Belarus","2005","Not applicable","Not applicable","Percent","25.18954"
"Belarus","2004","Not applicable","Not applicable","Percent","24.48078"
"Belgium","2011","Not applicable","Not applicable","Percent","22.24172"
"Belgium","2010","Not applicable","Not applicable","Percent","22.42525"
"Belgium","2009","Not applicable","Not applicable","Percent","22.69095"
"Belgium","2008","Not applicable","Not applicable","Percent","21.65768"
"Belgium","2007","Not applicable","Not applicable","Percent","21.8847"
"Belgium","2006","Not applicable","Not applicable","Percent","22.22871"
