Year,Region/Country/Area,All staff compensation as % of total expenditure in public institutions (%),Basic access to computers by level of education: Lower secondary,Basic access to computers by level of education: Primary,Basic access to computers by level of education: Upper secondary,Capital expenditure as % of total expenditure in public institutions (%),Current expenditure other than staff compensation as % of total expenditure in public institutions (%),Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),Ratio of girls to boys in lower secondary education,Ratio of girls to boys in primary education,Ratio of girls to boys in upper secondary education,Teachers at lower secondary level,Teachers at primary level,Teachers at upper secondary level,Teachers with minimum required qualifications at lower secondary level,Teachers with minimum required qualifications at primary level,Teachers with minimum required qualifications at upper secondary level
2005,40,72.1,0.0,0.0,0.0,4.7,23.2,101.5,102.7,101.8,102.4,94.0,102.3,399.0,363.0,382.0,0.99,0.99,0.92,0.0,0.0,0.0,0.0,0.0,0.0
2005,56,85.5,0.0,0.0,0.0,2.8,11.7,178.0,155.3,103.0,103.2,160.4,145.4,431.0,739.0,770.0,1.13,1.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0
2005,100,63.2,0.0,0.0,0.0,10.1,26.7,122.5,130.6,110.3,111.5,73.4,74.7,312.0,290.0,373.0,0.94,0.99,0.98,0.0,0.0,0.0,0.0,0.0,0.0
2005,112,65.2,0.0,0.0,0.0,4.8,30.1,110.8,117.3,98.1,104.0,0.0,0.0,706.0,380.0,0.0,0.94,0.94,0.0,0.0,0.0,0.0,0.0,99.8,0.0
2005,196,76.9,0.0,0.0,0.0,13.4,9.8,95.1,94.4,99.8,99.9,95.6,91.1,32.0,61.0,32.0,1.01,1.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0
2005,203,56.0,0.0,0.0,0.0,9.7,34.4,99.5,98.7,106.0,107.5,94.2,92.1,495.0,503.0,481.0,1.01,0.99,1.02,0.0,0.0,0.0,0.0,0.0,0.0
2005,246,60.9,0.0,0.0,0.0,7.0,32.1,100.5,100.6,99.4,100.1,127.8,117.6,199.0,382.0,232.0,1.0,0.99,1.08,0.0,0.0,0.0,0.0,0.0,0.0
2005,348,71.6,0.0,0.0,0.0,7.4,21.0,99.8,101.4,100.2,101.7,94.2,94.3,489.0,431.0,472.0,0.98,0.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,352,67.9,0.0,0.0,0.0,8.5,23.6,99.1,99.3,98.3,100.0,118.3,114.9,14.0,31.0,20.0,1.0,0.98,1.03,0.0,0.0,0.0,0.0,0.0,0.0
2005,372,74.2,0.0,0.0,0.0,8.4,17.3,103.9,100.0,102.9,103.3,130.2,113.0,175.0,454.0,142.0,1.04,1.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0
2005,380,71.9,0.0,0.0,0.0,7.2,20.9,103.8,107.0,103.5,104.4,95.8,95.1,0.0,0.0,0.0,0.97,0.99,1.01,0.0,0.0,0.0,0.0,0.0,0.0
2005,440,73.0,0.0,0.0,0.0,6.8,20.1,105.0,107.7,102.4,103.2,101.9,96.9,318.0,158.0,106.0,0.98,0.99,1.05,0.0,0.0,0.0,0.0,0.0,0.0
2005,484,85.7,0.0,0.0,0.0,3.1,11.2,109.0,101.6,107.6,109.4,56.6,53.7,0.0,0.0,0.0,1.07,0.98,1.05,0.0,0.0,0.0,88.1,94.9,91.2
2005,616,60.5,0.0,0.0,0.0,6.9,32.6,99.5,101.8,99.4,100.5,101.8,101.1,0.0,0.0,0.0,0.98,0.99,1.01,0.0,0.0,0.0,0.0,0.0,0.0
2005,620,86.2,0.0,0.0,0.0,3.6,10.2,106.5,103.5,112.2,116.6,95.9,80.4,363.0,753.0,306.0,1.03,0.96,1.16,0.0,0.0,0.0,0.0,100.0,0.0
2005,642,59.1,0.0,0.0,0.0,6.5,34.4,80.4,82.2,101.3,103.0,82.8,78.9,0.0,970.0,0.0,0.98,0.98,1.05,0.0,0.0,0.0,0.0,0.0,0.0
2005,703,60.2,0.0,0.0,0.0,5.6,34.1,97.5,98.5,102.6,103.3,93.8,91.0,360.0,242.0,303.0,0.99,0.99,1.03,0.0,0.0,0.0,0.0,0.0,0.0
2005,705,69.4,0.0,0.0,0.0,10.0,20.6,95.7,96.2,97.7,98.7,100.7,100.3,81.0,93.0,100.0,0.99,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0
