Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,Country/Area Name,Country/Area Code
MDG_Caribbean,2014,Female,Not applicable,Number,781313.087055098,,
MDG_Caribbean,2014,All genders,Not applicable,Number,1567291.8465127,,
MDG_Caribbean,2013,Female,Not applicable,Number,755209.511803329,,
MDG_Caribbean,2013,All genders,Not applicable,Number,1527227.65802364,,
MDG_Caribbean,2012,Female,Not applicable,Number,779870.098920055,,
MDG_Caribbean,2012,All genders,Not applicable,Number,1574313.70756598,,
MDG_Caribbean,2011,Female,Not applicable,Number,765726.474161479,,
MDG_Caribbean,2011,All genders,Not applicable,Number,1546550.39755244,,
MDG_Caribbean,2010,Female,Not applicable,Number,748821.1060333,,
MDG_Caribbean,2010,All genders,Not applicable,Number,1517067.0269229,,
MDG_Caribbean,2009,Female,Not applicable,Number,742249.180254644,,
MDG_Caribbean,2009,All genders,Not applicable,Number,1516001.73054785,,
MDG_Caribbean,2008,Female,Not applicable,Number,746841.313065694,,
MDG_Caribbean,2008,All genders,Not applicable,Number,1509430.25305801,,
MDG_Caribbean,2007,Female,Not applicable,Number,737735.148756894,,
MDG_Caribbean,2007,All genders,Not applicable,Number,1493822.89247934,,
MDG_Caribbean,2006,Female,Not applicable,Number,735367.421905059,,
MDG_Caribbean,2006,All genders,Not applicable,Number,1490477.63266838,,
MDG_Caribbean,2005,Female,Not applicable,Number,720402.761186312,,
MDG_Caribbean,2005,All genders,Not applicable,Number,1461360.11343012,,
MDG_Caribbean,2004,All genders,Not applicable,Number,1438882.69292142,,
MDG_Caribbean,2004,Female,Not applicable,Number,710178.695414261,,
MDG_Caribbean,2003,Female,Not applicable,Number,688951.536111419,,
MDG_Caribbean,2003,All genders,Not applicable,Number,1396572.9768144,,
MDG_Caribbean,2002,All genders,Not applicable,Number,1367729.97123124,,
MDG_Caribbean,2002,Female,Not applicable,Number,675286.810509478,,
MDG_Caribbean,2001,Female,Not applicable,Number,664286.488045108,,
MDG_Caribbean,2001,All genders,Not applicable,Number,1344345.29533343,,
MDG_Caribbean,2000,All genders,Not applicable,Number,1334223.2338638,,
MDG_Caribbean,2000,Female,Not applicable,Number,663592.623516595,,
MDG_Caribbean,1999,Female,Not applicable,Number,648289.141206172,,
MDG_Caribbean,1999,All genders,Not applicable,Number,1300641.69354906,,
MDG_Caribbean,1998,All genders,Not applicable,Number,933122.388676764,,
MDG_Caribbean,1998,Female,Not applicable,Number,464833.754136252,,
MDG_Caribbean,1997,Female,Not applicable,Number,448029.174812124,,
MDG_Caribbean,1997,All genders,Not applicable,Number,904346.748693865,,
MDG_Caribbean,1996,All genders,Not applicable,Number,878806.591325535,,
MDG_Caribbean,1996,Female,Not applicable,Number,435570.260011462,,
MDG_Caribbean,1995,Female,Not applicable,Number,400422.569949364,,
MDG_Caribbean,1995,All genders,Not applicable,Number,803729.46566352,,
MDG_Caribbean,1994,All genders,Not applicable,Number,784670.72934155,,
MDG_Caribbean,1994,Female,Not applicable,Number,379856.070959867,,
MDG_Caribbean,1993,All genders,Not applicable,Number,743255.987777467,,
MDG_Caribbean,1993,Female,Not applicable,Number,361738.541067459,,
MDG_Caribbean,1992,All genders,Not applicable,Number,695060.06550419,,
MDG_Caribbean,1991,All genders,Not applicable,Number,678216.750417554,,
MDG_Caribbean,1990,All genders,Not applicable,Number,621926.402044035,,
MDG_Caribbean,1989,All genders,Not applicable,Number,587956.142316892,,
MDG_Caribbean,1988,All genders,Not applicable,Number,544278.886945082,,
MDG_Caribbean,1987,All genders,Not applicable,Number,469371.264346453,,
MDG_Caribbean,1986,All genders,Not applicable,Number,431614.122773952,,
MDG_Caribbean,1985,All genders,Not applicable,Number,387970.74893429,,
MDG_Caribbean,1984,All genders,Not applicable,Number,396512.334029442,,
MDG_Caribbean,1983,All genders,Not applicable,Number,379022.98685119,,
MDG_Caribbean,1982,All genders,Not applicable,Number,362188.182228831,,
MDG_Caribbean,1981,All genders,Not applicable,Number,353534.785482073,,
MDG_Caribbean,1980,All genders,Not applicable,Number,360554.479802478,,
MDG_Caribbean,1979,All genders,Not applicable,Number,368977.864011987,,
MDG_Caribbean,1978,All genders,Not applicable,Number,372420.306618341,,
MDG_Caribbean,1977,All genders,Not applicable,Number,372130.028381724,,
MDG_Caribbean,1976,All genders,Not applicable,Number,349439.058667438,,
MDG_Caribbean,1975,All genders,Not applicable,Number,314486.060477686,,
MDG_Caucasus and Central Asia,2014,Female,Not applicable,Number,976020.860444279,,
MDG_Caucasus and Central Asia,2014,All genders,Not applicable,Number,2008313.45033835,,
MDG_Caucasus and Central Asia,2013,Female,Not applicable,Number,934471.986658462,,
MDG_Caucasus and Central Asia,2013,All genders,Not applicable,Number,1923990.4243563,,
MDG_Caucasus and Central Asia,2012,Female,Not applicable,Number,891960.650598714,,
MDG_Caucasus and Central Asia,2012,All genders,Not applicable,Number,1836163.7278158,,
MDG_Caucasus and Central Asia,2011,All genders,Not applicable,Number,1685118.3692396,,
MDG_Caucasus and Central Asia,2011,Female,Not applicable,Number,817652.715954424,,
MDG_Caucasus and Central Asia,2010,Female,Not applicable,Number,770020.169102485,,
MDG_Caucasus and Central Asia,2010,All genders,Not applicable,Number,1587865.8383559,,
MDG_Caucasus and Central Asia,2009,All genders,Not applicable,Number,1515584.787494,,
MDG_Caucasus and Central Asia,2009,Female,Not applicable,Number,737416.510382632,,
MDG_Caucasus and Central Asia,2008,Female,Not applicable,Number,732093.025457316,,
MDG_Caucasus and Central Asia,2008,All genders,Not applicable,Number,1500103.1700932,,
MDG_Caucasus and Central Asia,2007,All genders,Not applicable,Number,1472943.775263,,
MDG_Caucasus and Central Asia,2007,Female,Not applicable,Number,709950.288018478,,
MDG_Caucasus and Central Asia,2006,Female,Not applicable,Number,693193.808577812,,
MDG_Caucasus and Central Asia,2006,All genders,Not applicable,Number,1438489.1662442,,
MDG_Caucasus and Central Asia,2005,All genders,Not applicable,Number,1425975.3366096,,
MDG_Caucasus and Central Asia,2005,Female,Not applicable,Number,691067.938742825,,
MDG_Caucasus and Central Asia,2004,Female,Not applicable,Number,695820.840001748,,
MDG_Caucasus and Central Asia,2004,All genders,Not applicable,Number,1426809.7245176,,
MDG_Caucasus and Central Asia,2003,All genders,Not applicable,Number,1471033.136753,,
MDG_Caucasus and Central Asia,2003,Female,Not applicable,Number,707981.238244257,,
MDG_Caucasus and Central Asia,2002,All genders,Not applicable,Number,1485323.6137998,,
MDG_Caucasus and Central Asia,2002,Female,Not applicable,Number,716960.875743065,,
MDG_Caucasus and Central Asia,2001,All genders,Not applicable,Number,1486329.0991798,,
MDG_Caucasus and Central Asia,2001,Female,Not applicable,Number,712095.354104341,,
MDG_Caucasus and Central Asia,2000,All genders,Not applicable,Number,1429202.7113088,,
MDG_Caucasus and Central Asia,2000,Female,Not applicable,Number,687201.716979573,,
MDG_Caucasus and Central Asia,1999,All genders,Not applicable,Number,1396395.706566,,
MDG_Caucasus and Central Asia,1999,Female,Not applicable,Number,662984.675720312,,
MDG_Caucasus and Central Asia,1998,All genders,Not applicable,Number,1494130.61842365,,
MDG_Caucasus and Central Asia,1998,Female,Not applicable,Number,699553.054572255,,
MDG_Caucasus and Central Asia,1997,All genders,Not applicable,Number,1742762.1982014,,
MDG_Caucasus and Central Asia,1997,Female,Not applicable,Number,817232.151442983,,
MDG_Caucasus and Central Asia,1996,All genders,Not applicable,Number,2032323.42086978,,
MDG_Caucasus and Central Asia,1996,Female,Not applicable,Number,954901.164621929,,
MDG_Caucasus and Central Asia,1995,Female,Not applicable,Number,1086738.32896433,,
MDG_Caucasus and Central Asia,1995,All genders,Not applicable,Number,2328691.871701,,
MDG_Caucasus and Central Asia,1994,All genders,Not applicable,Number,2715086.523819,,
MDG_Caucasus and Central Asia,1994,Female,Not applicable,Number,1271307.78911556,,
MDG_Caucasus and Central Asia,1993,Female,Not applicable,Number,1392132.66920494,,
MDG_Caucasus and Central Asia,1993,All genders,Not applicable,Number,2968645.0215288,,
MDG_Caucasus and Central Asia,1992,All genders,Not applicable,Number,3353836.8582904,,
MDG_Caucasus and Central Asia,1992,Female,Not applicable,Number,1565907.66393789,,
MDG_Caucasus and Central Asia,1991,Female,Not applicable,Number,1623959.15732212,,
MDG_Caucasus and Central Asia,1991,All genders,Not applicable,Number,3446491.9173488,,
MDG_Caucasus and Central Asia,1990,All genders,Not applicable,Number,3471885.89748161,,
MDG_Caucasus and Central Asia,1990,Female,Not applicable,Number,1631730.78657414,,
MDG_Caucasus and Central Asia,1989,Female,Not applicable,Number,1545039.33440777,,
MDG_Caucasus and Central Asia,1989,All genders,Not applicable,Number,3284244.9119505,,
MDG_Caucasus and Central Asia,1988,All genders,Not applicable,Number,3159783.010803,,
MDG_Caucasus and Central Asia,1987,All genders,Not applicable,Number,3030918.14788214,,
MDG_Caucasus and Central Asia,1986,All genders,Not applicable,Number,2904091.9282423,,
MDG_Caucasus and Central Asia,1985,All genders,Not applicable,Number,2801636.85707768,,
MDG_Caucasus and Central Asia,1984,All genders,Not applicable,Number,2706491.62136737,,
MDG_Caucasus and Central Asia,1983,All genders,Not applicable,Number,2635289.31489874,,
MDG_Caucasus and Central Asia,1982,All genders,Not applicable,Number,2566908.51910619,,
MDG_Caucasus and Central Asia,1981,All genders,Not applicable,Number,2493748.8014098,,
MDG_Caucasus and Central Asia,1980,All genders,Not applicable,Number,2462305.8321246,,
MDG_Developed regions,2014,Female,Not applicable,Number,17317653.7180382,,
MDG_Developed regions,2014,All genders,Not applicable,Number,35564026.8545267,,
MDG_Developed regions,2013,Female,Not applicable,Number,16902568.7571184,,
MDG_Developed regions,2013,All genders,Not applicable,Number,34771399.9125424,,
MDG_Developed regions,2012,Female,Not applicable,Number,17336476.469546,,
MDG_Developed regions,2012,All genders,Not applicable,Number,35756301.9042276,,
MDG_Developed regions,2011,Female,Not applicable,Number,16953076.0970698,,
MDG_Developed regions,2011,All genders,Not applicable,Number,34958626.5851069,,
MDG_Developed regions,2010,Female,Not applicable,Number,16728987.431619,,
MDG_Developed regions,2010,All genders,Not applicable,Number,34189684.3550225,,
MDG_Developed regions,2009,Female,Not applicable,Number,15672528.05077,,
MDG_Developed regions,2009,All genders,Not applicable,Number,32247682.374114,,
MDG_Developed regions,2008,Female,Not applicable,Number,15485943.3308371,,
MDG_Developed regions,2008,All genders,Not applicable,Number,31855941.0190048,,
MDG_Developed regions,2007,Female,Not applicable,Number,15342341.7525541,,
